Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 3,0.003206035,0.002032517,0.01492802,0.01861343,-0.000309334,0.000243782,0.00017862,0.000256789
Female,0.002604139,0.002549348,0.000611742,0.023312709,-0.000102658,0.00030472,0.000161992,0.000321441
Male,0.00369466,0.002263793,0.0267487,0.02074958,-0.000479477,0.000272234,0.000193025,0.000286447
Warm All,-0.000691924,0.002367079,0.02226124,0.02892427,-0.000408856,0.000280286,-0.0002235,0.000331411
Warm Female,-0.002472278,0.002845733,-0.02993128,0.03489426,-0.000289378,0.000336265,-0.000369295,0.000398707
Warm Male,0.000744732,0.002791501,0.06360439,0.03399085,-0.000504151,0.000331224,-0.000103991,0.000390693
Cold All,0.006501246,0.003548202,0.006766164,0.024794942,-0.000138192,0.00043826,0.000401359,0.000393438
Cold Female,0.006740426,0.004547524,0.007561424,0.031858676,0.000371897,0.000558265,0.000432857,0.000503877
Cold Male,0.006240973,0.003806035,0.006109467,0.026528685,-0.000582768,0.000472062,0.000370443,0.000422154
Age 0-10 All,0.000861646,0.00407555,-0.006161993,0.038147762,-0.00015675,0.000489912,-0.00058712,0.000518868
Age 0-10 Female,-0.006988893,0.005672617,-0.06777024,0.05303786,-0.000389916,0.00067951,-0.001492875,0.000723028
Age 0-10 Male,0.006517212,0.004985495,0.03851645,0.04671286,1.05285E-05,0.000601081,6.33048E-05,0.000634385
Age 11-60 All,0.003925128,0.002185791,0.01863779,0.01995357,-0.000287117,0.000262532,0.000313076,0.000276027
Age 11-60 Female,0.00465432,0.002927135,0.01401785,0.02667966,-8.95872E-05,0.000350185,0.000461255,0.000368538
Age 11-60 Male,0.003414715,0.002463189,0.02201116,0.0225102,-0.000426159,0.000296589,0.000210779,0.000311667
Age 60+All,0.00204367,0.003427467,0.01457194,0.0313402,-0.000488816,0.000408497,0.000174146,0.000431404
Age 60+ Female,0.001662909,0.004084658,-0.00396454,0.03731496,-9.56632E-06,0.000486879,0.000132224,0.000514322
Age 60+ Male,0.002604557,0.004730921,0.04263066,0.04325777,-0.001215526,0.000563655,0.000234341,0.000595108
All: LAG 4,-0.000346898,0.00205327,0.003761549,0.018770848,-0.000346088,0.000246957,-0.000105901,0.000258112
Female,4.15543E-05,0.002565491,0.002500582,0.023382674,-0.00021213,0.000307663,0.000170576,0.000321735
Male,-0.000660804,0.002284908,0.004873005,0.020942738,-0.000455657,0.000275497,-0.000331327,0.000287727
Warm All,-0.00353988,0.002419863,-0.007537302,0.02959626,-0.000464802,0.000288168,-0.0005812,0.000336906
Warm Female,-0.004554521,0.002903593,-0.01650507,0.03553676,-0.000550399,0.000344685,-0.000571935,0.000404767
Warm Male,-0.002713671,0.002832774,-9.66218E-05,0.03461589,-0.000395157,0.000338203,-0.000583655,0.00039406
Cold All,0.002722539,0.003556771,0.01018019,0.02486317,-0.000267804,0.000440349,0.000299156,0.000392526
Cold Female,0.004743549,0.00454596,0.01158473,0.03189017,0.000266684,0.000560935,0.000783368,0.000500843
Cold Male,0.000978458,0.003818343,0.008930386,0.0266139,-0.000729337,0.00047382,-0.000116285,0.00042183
Age 0-10 All,-0.00567952,0.004101277,-0.08093421,0.03834201,0.000134134,0.000493356,-0.001022954,0.00052052
Age 0-10 Female,-0.007690188,0.005694132,-0.10208164,0.05326264,0.000295309,0.000684729,-0.000761452,0.000722431
Age 0-10 Male,-0.004198173,0.0050159,-0.06550602,0.04689763,1.80506E-05,0.00060341,-0.001211887,0.000636855
Age 11-60 All,-1.21477E-05,0.002205205,0.01466107,0.02010004,-0.000433848,0.000265701,-9.50152E-05,0.000277023
Age 11-60 Female,0.001629136,0.002946308,0.01997839,0.02676081,-0.000256136,0.00035355,0.000290429,0.000369092
Age 11-60 Male,-0.001163516,0.002478945,0.01091951,0.02266119,-0.000558522,0.0002996,-0.000364982,0.000311964
Age 60+All,0.001793265,0.003436045,0.01533498,0.03128683,-0.00033145,0.000410653,0.000428997,0.000430275
Age 60+ Female,-0.000509555,0.00408665,0.002862691,0.037100526,-0.000323875,0.000488857,0.000279616,0.000511334
Age 60+ Male,0.005297192,0.004748279,0.0344861,0.04330474,-0.000342981,0.00056675,0.000655568,0.000595501
All: LAG 5,-0.001508909,0.002067376,-0.01450633,0.01886451,-9.82725E-05,0.00024895,-0.00028433,0.000259077
Female,-0.00077643,0.002576849,-0.0139349,0.0234223,1.96382E-06,0.000309439,-0.000125464,0.000322432
Male,-0.002104276,0.002299859,-0.01493874,0.02106948,-0.000179368,0.000277573,-0.000413163,0.000288571
Warm All,-0.00298942,0.002453487,-0.04154705,0.02989095,-0.000160892,0.000292696,-0.000336965,0.000340996
Warm Female,-0.004354498,0.002936585,-0.05808857,0.0358445,-0.00026239,0.000349042,-0.000403625,0.000408991
Warm Male,-0.001886267,0.002864495,-0.02827504,0.0348736,-7.81047E-05,0.000342678,-0.000280056,0.000397469
Cold All,-0.001139445,0.003548294,0.000646189,0.024858861,-0.000175829,0.000441252,-0.000283265,0.000390076
Cold Female,0.002452439,0.004523647,0.007879951,0.031765621,0.000314615,0.000561805,7.71573E-05,0.000497392
Cold Male,-0.004245211,0.003813516,-0.005560318,0.026686854,-0.000599353,0.000474767,-0.000593504,0.000419207
Age 0-10 All,-0.003861706,0.00412243,-0.0432751,0.03858928,-0.000333359,0.000497021,-0.000714109,0.000521678
Age 0-10 Female,-0.00729459,0.005706938,-0.03807116,0.05342801,-0.00057199,0.000688518,-0.00092368,0.000722672
Age 0-10 Male,-0.001356834,0.005037743,-0.04677471,0.04722078,-0.000160509,0.000607068,-0.000559835,0.000637298
Age 11-60 All,-0.00102741,0.002217687,-0.01158233,0.02019132,-6.31615E-05,0.000267716,-0.000212686,0.00027761
Age 11-60 Female,0.001343544,0.002957078,-0.004298905,0.026811015,0.0001168,0.000355687,0.000155608,0.000369427
Age 11-60 Male,-0.002696676,0.002491036,-0.01675723,0.02276578,-0.000188937,0.000301507,-0.000471474,0.000312255
Age 60+All,-0.00181149,0.003446199,-0.00829375,0.03125354,-7.09075E-05,0.000410899,-0.000275302,0.000431032
Age 60+ Female,-0.003219693,0.004096567,-0.02779342,0.03701568,-2.97661E-05,0.000488974,-0.000479233,0.000511937
