Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 All,-0.022166,0.011167,-0.025204,0.101891,-0.001623,0.001311,-0.002774,0.001420
Age 0-10 Female,-0.038855,0.016344,-0.005143,0.149198,-0.003524,0.001902,-0.006424,0.002092
Age 0-10 Male,-0.008438,0.014612,-0.040806,0.133259,-0.000037,0.001727,0.000177,0.001847
Age 11-60 All,-0.002050,0.004087,0.021704,0.037069,-0.001393,0.000485,-0.000161,0.000518
Age 11-60 Female,0.003449,0.005712,0.059559,0.051808,-0.001074,0.000677,0.000081,0.000725
Age 11-60 Male,-0.006997,0.005429,-0.012207,0.049254,-0.001682,0.000645,-0.000377,0.000687
Age 60+All,-0.014029,0.006397,-0.088709,0.058182,0.000226,0.000756,-0.001653,0.000812
Age 60+ Female,-0.003131,0.008557,-0.030650,0.077600,0.000927,0.001011,-0.000168,0.001089
Age 60+ Male,-0.026461,0.009073,-0.155997,0.082823,-0.000580,0.001072,-0.003314,0.001149
All: LAG 4,-0.005888,0.003493,0.000651,0.031678,-0.001146,0.000415,-0.000670,0.000441
Female,-0.005007,0.004815,-0.006043,0.043541,-0.000657,0.000571,-0.000911,0.000610
Male,-0.006739,0.004571,0.007061,0.041571,-0.001615,0.000543,-0.000447,0.000576
Warm All,-0.011491,0.004054,-0.056028,0.036695,-0.001069,0.000520,-0.001628,0.000513
Warm Female,-0.007295,0.005175,-0.072620,0.046604,-0.000348,0.000663,-0.001800,0.000656
Warm Male,-0.015375,0.004847,-0.040256,0.044057,-0.001743,0.000622,-0.001467,0.000613
Cold All,0.002839,0.004339,0.096516,0.039103,-0.001327,0.000454,0.000867,0.000561
Cold Female,-0.002341,0.005629,0.108322,0.050710,-0.001161,0.000589,0.000466,0.000729
Cold Male,0.007877,0.005524,0.084831,0.049847,-0.001489,0.000578,0.001253,0.000713
Age 0-10 All,-0.022288,0.011194,0.006605,0.101785,-0.002175,0.001318,-0.003655,0.001415
Age 0-10 Female,-0.054003,0.016327,-0.177352,0.148977,-0.001542,0.001899,-0.007493,0.002077
Age 0-10 Male,0.004035,0.014665,0.157908,0.133021,-0.002723,0.001745,-0.000516,0.001845
Age 11-60 All,-0.003657,0.004097,-0.011526,0.037193,-0.001312,0.000487,-0.000275,0.000518
Age 11-60 Female,-0.001556,0.005737,-0.004946,0.051930,-0.001124,0.000682,-0.000304,0.000726
Age 11-60 Male,-0.005548,0.005426,-0.017530,0.049390,-0.001484,0.000646,-0.000252,0.000684
Age 60+All,-0.006359,0.006432,0.032124,0.058077,-0.000368,0.000762,-0.000720,0.000813
Age 60+ Female,0.000634,0.008589,0.038368,0.077266,0.000691,0.001018,-0.000487,0.001090
Age 60+ Male,-0.014342,0.009119,0.024264,0.082731,-0.001579,0.001078,-0.000960,0.001147
All: LAG 5,-0.007583,0.003502,-0.034794,0.031854,-0.000449,0.000417,-0.000937,0.000440
Female,-0.008822,0.004828,-0.054049,0.043792,-0.000301,0.000573,-0.001141,0.000608
Male,-0.006424,0.004571,-0.016294,0.041669,-0.000589,0.000545,-0.000747,0.000574
