Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Female,0.00528815,0.005610165,0.164382304,0.048818389,-0.00013351,0.000637936,0.000677774,0.000701172
Male,0.011403786,0.005872079,0.155374238,0.051201423,-4.25804E-05,0.000671746,0.000760985,0.000734355
Warm All,0.006238522,0.005392237,0.15550625,0.06218002,-0.001295715,0.000607165,6.81185E-05,0.000778127
Warm Female,0.00660404,0.006743851,0.18555189,0.07759626,-0.001327473,0.000757024,0.000263857,0.000975793
Warm Male,0.005785024,0.007150397,0.12363325,0.08273825,-0.00126683,0.00080846,-0.000145323,0.001028616
Cold All,0.009019462,0.008091397,0.151821113,0.05749867,0.001669719,0.000935406,0.000905026,0.000890986
Cold Female,0.002927325,0.009206832,0.14954732,0.06561048,0.00142354,0.00106302,0.000773115,0.001012969
Cold Male,0.015741816,0.009552602,0.15463483,0.06775005,0.001931005,0.001106699,0.001058462,0.001053018
Age 0-10 All,0.012927042,0.007845285,0.183249367,0.06634952,-0.000715521,0.000902608,0.001356443,0.000973645
Age 0-10 Female,0.01762461,0.01047245,0.21879434,0.0881373,-0.000713298,0.00120559,0.002591896,0.001295703
Age 0-10 Male,0.009074216,0.009526355,0.15395906,0.08092831,-0.000725267,0.00109526,0.000336055,0.001184971
Age 11-60 All,0.008923812,0.005546152,0.170779046,0.04869131,-0.000112167,0.000632474,0.000963656,0.000693645
Age 11-60 Female,0.007461013,0.006863569,0.189877357,0.060164793,-0.000190278,0.000780951,0.000846044,0.000858137
Age 11-60 Male,0.010592049,0.007227708,0.14877215,0.06364299,-2.72279E-05,0.000826123,0.001099406,0.000904224
Age 60+All,-0.001927323,0.008498878,0.08144669,0.07606338,0.000954476,0.000955365,-0.001190589,0.001074134
Age 60+ Female,-0.01726096,0.01101198,0.00677675,0.09853238,0.000708489,0.001231635,-0.002398812,0.001393644
Age 60+ Male,0.01925327,0.01254269,0.18493957,0.11237121,0.001304625,0.00142114,0.000477325,0.001583186
All: LAG 4,0.007086238,0.004787816,0.107787195,0.041620265,0.000225559,0.000546326,0.000922544,0.000596175
Female,0.003200405,0.00564083,0.11845911,0.04908931,-0.000294958,0.000641424,0.000774836,0.000702534
Male,0.01125665,0.005891566,0.0962774,0.05118045,0.000785167,0.000674649,0.001082345,0.000733536
Warm All,0.006776613,0.005422745,0.13098993,0.06205323,-0.000706419,0.000614531,0.000384667,0.000775246
Warm Female,0.001441963,0.006800723,0.17703155,0.07771415,-0.001727313,0.000766312,-0.000191717,0.000974505
Warm Male,0.012421305,0.007181849,0.08142235,0.08235689,0.000395902,0.000818055,0.000986803,0.001023941
Cold All,0.007097183,0.008100471,0.08914313,0.05788326,0.001580878,0.000936096,0.001135185,0.000892374
Cold Female,0.004131998,0.009204629,0.0871948,0.06612081,0.001468852,0.001061671,0.001279109,0.001014395
Cold Male,0.010292709,0.009553622,0.09106357,0.06789694,0.001683052,0.001106931,0.000978506,0.001052178
Age 0-10 All,0.011902515,0.007874139,0.14496504,0.06631584,-0.000204046,0.000905275,0.00149041,0.00097274
Age 0-10 Female,0.008902578,0.010510107,0.2171125,0.0882438,-0.001475098,0.001209858,0.002020422,0.001294517
Age 0-10 Male,0.014384851,0.009558407,0.08553939,0.08070895,0.000824158,0.001097181,0.001051636,0.001183726
Age 11-60 All,0.006345279,0.005576179,0.11057713,0.04890271,0.000311392,0.000636054,0.000865896,0.000695715
Age 11-60 Female,0.002074313,0.006909969,0.10821933,0.06055296,0.000055369,0.000784983,0.000533868,0.000862955
Age 11-60 Male,0.011233424,0.007251091,0.11328238,0.06368879,0.000603732,0.000830994,0.001249545,0.000903766
Age 60+All,0.001229267,0.008532711,0.02721999,0.07634461,0.000624385,0.000962537,0.000114371,0.001070204
Age 60+ Female,-0.000891732,0.011036372,0.006027354,0.099013784,0.000128162,0.001238879,-0.000168804,0.001384089
Age 60+ Male,0.004204565,0.012623308,0.05591232,0.11251573,0.001330257,0.001434011,0.000510894,0.001583487
All: LAG 5,0.011086434,0.004773144,0.08715282,0.04158254,0.000329079,0.000548354,0.001068408,0.000591995
Female,0.015386037,0.005615845,0.141706078,0.048972507,-0.000349435,0.000645184,0.001573821,0.000696286
Male,0.006408409,0.00589141,0.02856023,0.0512589,0.00106014,0.000676469,0.000520936,0.000730818
Warm All,0.009434629,0.005430822,0.09833854,0.06219805,2.08071E-05,0.000616995,0.000843693,0.000773069
Warm Female,0.00678698,0.006808896,0.14493738,0.07772109,-0.000911063,0.000770983,0.000660967,0.000970759
Warm Male,0.012213215,0.007206943,0.0475849,0.08278848,0.001023324,0.000820368,0.001025018,0.001023724
Cold All,0.011802972,0.008029258,0.0750691,0.0577141,0.000888211,0.000941776,0.00105706,0.000883028
Cold Female,0.023068766,0.009095928,0.13504311,0.06579888,0.000380921,0.001071489,0.002000222,0.00100066
Cold Male,-0.000589455,0.009516851,0.01096132,0.067976,0.00143514,0.001112008,2.76273E-05,0.001046653
Age 0-10 All,0.013188841,0.007827898,0.03741185,0.06631201,0.001189835,0.000906801,0.001098805,0.000963742
Age 0-10 Female,0.01999401,0.01044002,0.12710379,0.08811743,-5.5359E-05,0.001215206,0.001705458,0.0012842
Age 0-10 Male,0.007482369,0.009527957,-0.03785163,0.08093195,0.002200472,0.001099199,0.000586871,0.001173772
Age 11-60 All,0.008787362,0.005581091,0.09812039,0.04895093,-0.000229887,0.000639898,0.00121385,0.000692309
Age 11-60 Female,0.015851413,0.006909069,0.171889389,0.060614401,-0.000676092,0.000792857,0.002141389,0.000856237
Age 11-60 Male,0.000606283,0.007266949,0.01347324,0.06372553,0.000276952,0.000832353,0.000141529,0.000902446
Age 60+All,0.014936543,0.008499928,0.14215008,0.07608095,0.000737727,0.000967277,0.000505037,0.001066058
Age 60+ Female,0.00805306,0.01097506,0.06829023,0.09834971,0.000272858,0.001240353,-0.000333807,0.001375215
Age 60+ Male,0.0244699,0.01260689,0.24441888,0.11265997,0.001405096,0.00144773,0.001688629,0.001581994
All: LAG 6,0.006812077,0.004751691,0.03370479,0.04161079,0.000604408,0.00054782,0.000903952,0.000588617
Female,0.006796605,0.005596933,0.04237997,0.04909344,0.000193548,0.000644377,0.001166707,0.000693362
Male,0.006852689,0.00586339,0.02439469,0.05124653,0.001053853,0.000676905,0.000620687,0.000726212
Warm All,0.007549946,0.005441898,0.05019355,0.06235034,-0.000215935,0.00061517,0.001104455,0.000773578
Warm Female,0.003664636,0.006797935,0.03827805,0.07787301,-0.000680329,0.000766007,0.001295037,0.000965995
Warm Male,0.011743529,0.007250372,0.06280871,0.08305771,0.000290182,0.000821857,0.000898732,0.001031087
Cold All,0.006219516,0.007934935,0.01674503,0.05772074,0.002014203,0.000945031,0.000655404,0.000874237
Cold Female,0.010103374,0.009036687,0.03594994,0.06599063,0.001578584,0.001077078,0.000974092,0.000997003
Cold Male,0.00196897,0.009370561,-0.004006102,0.067876543,0.002493226,0.001116157,0.00030744,0.001030852
Age 0-10 All,0.01646882,0.00780368,0.03799671,0.06632533,0.001642549,0.000904844,0.001797601,0.000958466
Age 0-10 Female,0.01779953,0.0104248,0.09402038,0.08828764,0.001381304,0.001207585,0.00201856,0.001281705
Age 0-10 Male,0.015352127,0.009499443,-0.008309018,0.080935726,0.001848034,0.001102343,0.001613772,0.00116561
Age 11-60 All,0.00595604,0.005544349,0.03718568,0.0489005,0.000569229,0.000638735,0.001104192,0.000687493
Age 11-60 Female,0.01034052,0.006869048,0.06221194,0.06061575,0.000166437,0.00079162,0.001694104,0.000850972
Age 11-60 Male,0.00086205,0.00722384,0.00813988,0.0636744,0.001040921,0.000831931,0.000417205,0.000896796
Age 60+All,-0.006869546,0.008469766,0.008569535,0.076449042,-0.0009366,0.000969682,-0.001376059,0.001061223
Age 60+ Female,-0.01814237,0.01094129,-0.10079628,0.09899228,-0.001166585,0.001246483,-0.001611562,0.00137032
Age 60+ Male,0.00889298,0.01254251,0.1598007,0.1128161,-0.000618088,0.001446611,-0.001034528,0.001573311
All: LAG 7,0.004854704,0.00473823,0.03818669,0.04157008,0.000753841,0.000544747,0.000438787,0.000586727
Female,0.002358113,0.005583365,0.000117671,0.04909264,0.001130899,0.000640286,0.000265211,0.000691281
Male,0.007581894,0.00584797,0.07911216,0.05117773,0.000343829,0.000674261,0.000632517,0.000724249
Warm All,0.005583454,0.005423852,0.02550598,0.06316054,3.96155E-05,0.000608549,0.000589424,0.000773939
Warm Female,0.005510717,0.006773878,-0.02310961,0.07880769,0.000830754,0.000757761,0.000540723,0.000966659
Warm Male,0.005712229,0.007237248,0.07781823,0.08432702,-0.000810375,0.000813912,0.000652396,0.001032488
Cold All,0.004185347,0.007904713,0.03371576,0.05732391,0.002079748,0.000944839,0.000200349,0.000869512
Cold Female,-0.001091475,0.009011262,-0.001868412,0.06563989,0.002032856,0.001075332,-4.81768E-05,0.000991566
Cold Male,0.009945581,0.009329312,0.07199292,0.06733106,0.00213332,0.001118541,0.000473787,0.001025946
Age 0-10 All,0.014581885,0.007823446,0.05682033,0.06627802,0.001042204,0.000900682,0.001309644,0.000958487
Age 0-10 Female,0.01553455,0.01044947,0.04728683,0.08840776,0.00185392,0.001201223,0.001380171,0.001276321
Age 0-10 Male,0.01372155,0.009520134,0.06408241,0.08071533,0.000379611,0.001096944,0.001242047,0.001169065
Age 11-60 All,0.001482842,0.005527706,0.0542531,0.04898581,0.000375348,0.000635833,0.000454288,0.000686133
Age 11-60 Female,2.62518E-05,0.006858726,0.04651843,0.06085364,0.000425762,0.000787722,9.47787E-05,0.000851854
Age 11-60 Male,0.003225256,0.007192172,0.06325526,0.06365539,0.000317304,0.000828847,0.000877535,0.000892077
Age 60+All,-0.000486711,0.008441415,-0.05344244,0.07624943,0.001523409,0.000968033,-0.001145466,0.001055973
Age 60+ Female,-0.007695233,0.010908141,-0.21459678,0.09838747,0.002348058,0.001243786,-0.000749409,0.001362626
Age 60+ Male,0.00950678,0.0125092,0.1735869,0.1131595,0.000331529,0.001446595,-0.001688541,0.001568698
All: LAG 8,0.008819993,0.004740769,-0.02809173,0.04168284,0.001004259,0.000542528,0.001024724,0.000587566
Female,0.01008395,0.005584422,-0.0418333,0.04912699,0.001550162,0.000637411,0.001361163,0.000692019
Male,0.007479042,0.005854157,-0.0132637,0.05142806,0.000412045,0.000671721,0.000666874,0.000725586
Warm All,0.004406901,0.005475274,-0.09467939,0.06422966,0.000834677,0.000609444,0.000831753,0.00078031
Warm Female,0.008947988,0.006812672,-0.08962922,0.07983886,0.001358854,0.000757146,0.001339965,0.000971207
Warm Male,-0.000444633,0.007298305,-0.09987019,0.08578221,0.000268223,0.000813966,0.00029353,0.001039954
Cold All,0.013260359,0.007852439,-0.010044,0.05705736,0.001653337,0.000938539,0.001068249,0.000867117
Cold Female,0.011598242,0.008967542,-0.03247065,0.06530067,0.002302352,0.001067573,0.001292888,0.000990071
Cold Male,0.015076545,0.009265663,0.01407124,0.06712852,0.000943959,0.001112157,0.000830006,0.001023053
Age 0-10 All,0.01998229,0.00780596,-0.0129148,0.06605915,0.001610603,0.000897297,0.002124881,0.00095656
Age 0-10 Female,0.031305694,0.01041809,0.03914631,0.08772404,0.00210513,0.001198382,0.004164654,0.001272854
