Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 All,-0.004183,0.027970,-0.185606,0.249728,0.000054,0.003319,0.001047,0.003544
Age 0-10 Female,-0.006929,0.038048,-0.348002,0.356130,0.003327,0.004496,-0.001475,0.004887
Age 0-10 Male,-0.000762,0.036280,-0.065772,0.312439,-0.002818,0.004323,0.003185,0.004545
Age 11-60 All,-0.018438,0.006193,-0.123193,0.054475,-0.000672,0.000733,-0.001691,0.000779
Age 11-60 Female,-0.013994,0.007870,-0.101802,0.068999,-0.000348,0.000935,-0.001286,0.000988
Age 11-60 Male,-0.025837,0.009764,-0.159214,0.086279,-0.001202,0.001148,-0.002381,0.001231
Age 60+All,-0.007735,0.009157,-0.025882,0.080061,-0.000042,0.001091,-0.000774,0.001150
Age 60+ Female,-0.003785,0.012047,-0.041562,0.105235,0.000028,0.001439,-0.000910,0.001514
Age 60+ Male,-0.013205,0.013608,-0.005548,0.119094,-0.000143,0.001614,-0.000611,0.001707
All: LAG 4,-0.006314,0.005365,-0.026256,0.046863,0.000289,0.000635,-0.000773,0.000675
Female,0.003377,0.006704,-0.012078,0.058278,0.000655,0.000797,0.000340,0.000841
Male,-0.020986,0.008029,-0.048407,0.070680,-0.000250,0.000944,-0.002477,0.001014
Warm All,-0.009376,0.005723,-0.102190,0.049653,0.000510,0.000732,-0.001002,0.000722
Warm Female,-0.000445,0.006902,-0.115063,0.059527,0.001645,0.000885,-0.000121,0.000869
Warm Male,-0.023317,0.008226,-0.081484,0.072066,-0.001228,0.001048,-0.002384,0.001040
Cold All,-0.002630,0.006166,0.086890,0.053866,-0.000091,0.000647,-0.000780,0.000786
Cold Female,0.008226,0.007535,0.156696,0.065606,-0.000646,0.000792,0.000756,0.000957
Cold Male,-0.018220,0.008749,-0.014473,0.076837,0.000704,0.000915,-0.003027,0.001123
Age 0-10 All,-0.037374,0.028207,-0.378973,0.249358,-0.001036,0.003270,-0.004237,0.003610
Age 0-10 Female,-0.047350,0.038361,-0.652777,0.352482,-0.004083,0.004407,-0.007853,0.004964
Age 0-10 Male,-0.028781,0.036622,-0.180617,0.314164,0.001758,0.004278,-0.001245,0.004648
Age 11-60 All,-0.005847,0.006227,-0.026546,0.054537,0.000348,0.000736,-0.000435,0.000782
Age 11-60 Female,-0.000379,0.007901,-0.050984,0.068754,0.000930,0.000937,0.000369,0.000988
Age 11-60 Male,-0.014851,0.009817,0.014607,0.086880,-0.000586,0.001152,-0.001775,0.001239
Age 60+All,-0.004286,0.009196,0.008452,0.079793,0.000289,0.001093,-0.001193,0.001159
Age 60+ Female,0.016241,0.012049,0.123216,0.104120,0.000387,0.001441,0.000898,0.001516
Age 60+ Male,-0.032022,0.013724,-0.149170,0.119824,0.000161,0.001618,-0.004026,0.001736
All: LAG 5,-0.001396,0.005362,0.017015,0.046881,0.000770,0.000634,-0.000036,0.000671
Female,0.000862,0.006702,-0.009897,0.058452,0.001050,0.000794,0.000420,0.000838
Male,-0.004838,0.008022,0.057958,0.070402,0.000352,0.000945,-0.000737,0.001007
Warm All,-0.009838,0.005730,-0.027589,0.049757,0.000841,0.000728,-0.000924,0.000721
Warm Female,-0.009024,0.006915,-0.062483,0.059908,0.001694,0.000879,-0.000782,0.000870
Warm Male,-0.011145,0.008221,0.027174,0.071570,-0.000482,0.001041,-0.001148,0.001033
Cold All,0.010576,0.006139,0.075433,0.053845,0.000654,0.000650,0.001041,0.000778
Cold Female,0.015289,0.007492,0.061368,0.065502,0.000214,0.000794,0.002010,0.000946
Cold Male,0.003851,0.008721,0.096419,0.076881,0.001283,0.000923,-0.000365,0.001111
Age 0-10 All,0.026735,0.028264,0.221776,0.248335,0.002060,0.003266,0.000671,0.003549
Age 0-10 Female,0.023980,0.038403,-0.190227,0.349628,0.006256,0.004419,-0.001949,0.004841
Age 0-10 Male,0.029907,0.036709,0.532048,0.313910,-0.001393,0.004253,0.002970,0.004596
Age 11-60 All,-0.007275,0.006219,-0.059292,0.054607,0.001369,0.000734,-0.000341,0.000779
Age 11-60 Female,-0.008942,0.007895,-0.104829,0.069072,0.001714,0.000935,-0.000417,0.000987
Age 11-60 Male,-0.004559,0.009806,0.016474,0.086589,0.000819,0.001150,-0.000227,0.001230
Age 60+All,0.008749,0.009188,0.158683,0.079590,-0.000658,0.001093,0.000563,0.001151
Age 60+ Female,0.022360,0.012066,0.220266,0.104141,-0.000931,0.001436,0.002607,0.001509
Age 60+ Male,-0.009393,0.013654,0.074492,0.118926,-0.000254,0.001625,-0.002170,0.001715
All: LAG 6,0.006439,0.005328,0.051250,0.047393,0.000815,0.000637,0.001122,0.000664
Female,0.006410,0.006674,0.059862,0.059179,0.000016,0.000800,0.001328,0.000831
Male,0.006497,0.007953,0.038323,0.071054,0.001991,0.000944,0.000817,0.000994
Warm All,-0.001576,0.005703,0.037422,0.050682,0.000817,0.000729,0.000292,0.000714
Warm Female,-0.001416,0.006886,0.050086,0.061149,0.000664,0.000882,0.000691,0.000861
Warm Male,-0.001784,0.008182,0.018116,0.072786,0.001044,0.001042,-0.000323,0.001027
Cold All,0.017947,0.006090,0.061507,0.053722,0.000723,0.000655,0.002237,0.000770
