G40-G47,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm Female,0.016821742,0.007640351,0.06255062,0.09572557,0.000554619,0.000870451,0.002476412,0.001058619
Warm Male,-0.037392942,0.009734285,-0.02301536,0.12186237,-0.004158597,0.001096261,-0.005346695,0.001375734
Cold All,0.001546013,0.006696437,-0.02729299,0.0500707,2.24E-05,0.000835801,-7.17E-05,0.000741091
Cold Female,-0.002054529,0.008376854,-0.04054309,0.06239216,0.001299071,0.001046247,-0.000518405,0.00092765
Cold Male,0.007082793,0.010625145,-0.005101489,0.079899271,-0.001961141,0.001324109,0.000635194,0.001174655
Age 0-10 All,0.01354673,0.03057596,-0.0115457,0.2889871,0.000241259,0.003548017,0.000885501,0.003804717
Age 0-10 Female,0.04360179,0.04057971,0.2639566,0.3847768,-0.000275413,0.004756529,0.00120307,0.005007189
Age 0-10 Male,-0.008315526,0.03945452,-0.1724391,0.3723869,0.000279657,0.004537681,0.001041823,0.004938263
Age 11-60 All,-0.00371484,0.007533496,-0.03119741,0.07018482,-0.00038677,0.000884655,-0.000716073,0.000936501
Age 11-60 Female,0.007222596,0.009370834,-0.00737722,0.08696302,0.001202149,0.001104505,0.000463753,0.001162569
Age 11-60 Male,-0.02281711,0.01225985,-0.07269917,0.11496534,-0.003121978,0.001429681,-0.002783047,0.001529976
Age 60+All,-0.001109841,0.012174138,0.008908434,0.1137428,-0.001049393,0.00142557,0.000675838,0.0015205
Age 60+ Female,0.005028424,0.016024818,-0.06210676,0.15126476,0.000375776,0.001875082,0.001703628,0.001995969
Age 60+ Male,-0.008964511,0.018347191,0.1017393,0.1691718,-0.002950202,0.002150842,-0.000633878,0.002299678
All: LAG 14,-0.006231063,0.006454495,-0.03610826,0.05993224,-0.000143193,0.000757674,-0.00072011,0.000803315
Female,-0.001554032,0.007963875,-0.01473526,0.07395929,0.000174511,0.000938729,-0.000421039,0.000988766
Male,-0.01371774,0.01017474,-0.07067794,0.09438903,-0.000631716,0.001186551,-0.001221862,0.001271294
Warm All,-0.006324736,0.006252818,0.001608722,0.077512207,-0.00069193,0.000712197,0.00017102,0.000865153
Warm Female,0.004524424,0.007659609,-0.01095851,0.0947675,-0.000249401,0.000876268,0.001188762,0.001053829
Warm Male,-0.023636453,0.009762975,0.01969791,0.1212653,-0.00137941,0.001104758,-0.00151131,0.001363266
Cold All,-0.006787319,0.006705395,-0.0338972,0.05000689,-0.000470376,0.000833335,-0.001231042,0.000747615
Cold Female,-0.008818072,0.008354544,0.004241551,0.062283463,-0.000274712,0.001042924,-0.001534141,0.000931652
Cold Male,-0.003800561,0.010711373,-0.09438287,0.07989669,-0.000761788,0.001321795,-0.000789125,0.001194182
Age 0-10 All,-0.006292072,0.030818003,0.09663141,0.28688527,-0.001611078,0.00356784,-0.000754493,0.003845817
Age 0-10 Female,0.001485627,0.041226118,0.4022243,0.3892747,0.002987771,0.004723734,-0.002091648,0.005132293
Age 0-10 Male,-0.01327015,0.03943994,-0.1381482,0.3637613,-0.005733754,0.004599577,0.00036103,0.004935984
Age 11-60 All,-0.00511978,0.007545139,-0.03055197,0.0699705,-0.000504806,0.00088887,-0.000378726,0.000936387
Age 11-60 Female,0.001014397,0.009379201,-0.009646023,0.086723873,-0.000112266,0.001109706,-5.33E-05,0.001162435
Age 11-60 Male,-0.0157807,0.01227869,-0.06776408,0.11444482,-0.001152353,0.001435642,-0.000959876,0.00152769
Age 60+All,-0.009558578,0.012221649,-0.07211193,0.11362923,0.001031723,0.001423129,-0.001719035,0.001532441
Age 60+ Female,-0.009698073,0.016030655,-0.07413752,0.15030098,0.000685404,0.001874425,-0.00134888,0.00200111
Age 60+ Male,-0.009406644,0.018498408,-0.0684847,0.1700979,0.001469865,0.002142364,-0.002197053,0.002332857
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
All: LAG 0,0.003472103,0.004312838,0.0011789,0.000760354,-0.00036282,0.000485723,-0.002639637,0.004131918
Female,0.004927142,0.005320893,0.001166395,0.000939348,4.49E-06,0.000599855,-0.00784597,0.005094963
Male,0.001289321,0.006814178,0.001223955,0.001199148,-0.000938357,0.000766248,0.005553715,0.006529342
Warm All,0.005395385,0.004131915,0.002334698,0.000921341,-0.000133293,0.000396116,0.00558923,0.005035101
Warm Female,0.007399655,0.005050508,0.002047111,0.001126404,0.000352036,0.00048513,0.006737875,0.006122399
Warm Male,0.002116043,0.006425624,0.00278222,0.001433248,-0.000908233,0.000613979,0.003583995,0.007899044
Cold All,0.002357634,0.00458594,0.000757475,0.000657494,-0.001238719,0.00074184,-0.006721784,0.003542363
Cold Female,0.003699457,0.005730604,0.000894583,0.000821892,-0.001005492,0.000927339,-0.015561075,0.004423204
Cold Male,0.000588335,0.007353161,0.000588952,0.001053809,-0.001585655,0.001189317,0.006985008,0.005674141
Age 0-10 All,-0.01472121,0.02072687,-0.001868313,0.003627204,-0.001616538,0.002357279,-0.02334769,0.02028434
Age 0-10 Female,-0.0434636,0.02773345,-0.004507805,0.004887521,-0.005766783,0.003131446,-0.06082848,0.02769901
Age 0-10 Male,0.009846693,0.026480859,0.00037813,0.004604041,0.001978471,0.003034885,0.005675883,0.025498921
Age 11-60 All,0.002327963,0.005049781,0.001008535,0.000890951,-0.000462626,0.000568563,-0.003267114,0.004825378
Age 11-60 Female,0.005474482,0.006284084,0.001193349,0.001107415,0.000103526,0.00070995,-0.006811171,0.005987943
Age 11-60 Male,-0.003031331,0.008233662,0.00071093,0.001456194,-0.001428971,0.000921588,0.003018642,0.007902936
Age 60+All,0.009301786,0.008176876,0.002108631,0.001440866,8.57E-05,0.000920223,0.001889148,0.007863683
Age 60+ Female,0.008910839,0.010729866,0.001759367,0.001905213,0.000366543,0.001201829,-0.005270619,0.010382991
Age 60+ Male,0.009988389,0.012381495,0.002577649,0.00216014,-0.000276943,0.001402255,0.01116892,0.01180735
All: LAG 1,-0.000681383,0.004324519,0.000477545,0.000759804,-0.000650004,0.000489338,-0.004214188,0.004184261
Female,0.006612761,0.005336083,0.001810134,0.000937678,-0.00026769,0.000603944,-0.000992363,0.005126324
Male,-0.011951498,0.006805156,-0.001568755,0.001194915,-0.001248008,0.000770458,-0.009360363,0.006664941
Warm All,-0.003131603,0.004141094,0.000138593,0.00091752,-0.000603376,0.000397993,-0.000489088,0.005038291
Warm Female,0.005527713,0.005066057,0.001697302,0.001122232,0.000172714,0.000487552,0.00691588,0.006113887
Warm Male,-0.01685852,0.00642949,-0.002326436,0.001424796,-0.001829365,0.000616915,-0.012800197,0.007926864
Cold All,0.002623324,0.004592156,0.000730492,0.00065829,-0.001037674,0.000750695,-0.006668295,0.003612782
Cold Female,0.008101336,0.005722099,0.001941044,0.000818612,-0.002231075,0.000935401,-0.005902995,0.004461072
Cold Male,-0.005379196,0.007322343,-0.00107121,0.001052415,0.000777848,0.001196942,-0.00768456,0.005849943
Age 0-10 All,-0.00328745,0.02080903,-0.000741855,0.003639861,-5.25E-05,0.002381746,-0.01142284,0.02051166
Age 0-10 Female,0.001170254,0.027907332,0.000806288,0.004883733,-0.000609571,0.003160171,-0.02618499,0.02795628
Age 0-10 Male,-0.006774562,0.026503999,-0.001957356,0.004634692,0.000411434,0.003059732,0.000734678,0.025797535
Age 11-60 All,-0.002340569,0.005059825,0.000100063,0.000890051,-0.000662191,0.000572214,-0.004166023,0.004873633
Age 11-60 Female,0.006307494,0.006306837,0.001600703,0.001108353,-0.000130007,0.000714064,-0.001220909,0.006022888
Age 11-60 Male,-0.017075392,0.008211725,-0.002458566,0.001446355,-0.001571725,0.000927542,-0.009408618,0.008034463
Age 60+All,0.004128045,0.008172744,0.001672594,0.001432262,-0.000718608,0.00092502,-0.003294336,0.007989539
Age 60+ Female,0.008105613,0.010733665,0.002558214,0.001887599,-0.000653938,0.001213127,0.002478666,0.01045467
Age 60+ Male,-0.001108813,0.012352947,0.000538395,0.002154994,-0.000817231,0.001401212,-0.01100417,0.01213091
All: LAG 2,-0.007822423,0.004336832,-0.000689028,0.000760542,-0.001162806,0.000490702,-0.012763536,0.004184791
Female,-0.000227002,0.00535672,0.000834521,0.000938205,-0.000925676,0.000608348,-0.004466616,0.005128304
Male,-0.019760391,0.0068277,-0.003082294,0.001198425,-0.001536532,0.000768985,-0.0261855,0.00668177
Warm All,-0.012650029,0.004132194,-0.00186833,0.000910332,-0.001324459,0.000399042,-0.02446201,0.005009563
Warm Female,-0.006358507,0.005065446,-0.00067495,0.001112718,-0.000794514,0.000491197,-0.015550757,0.006090227
Warm Male,-0.022553843,0.006391243,-0.003763255,0.001412775,-0.002144453,0.000613686,-0.03901993,0.00787238
Cold All,-4.06E-05,0.00463263,0.000187058,0.000661963,-0.000592099,0.000752026,-0.006277143,0.003618158
Cold Female,0.010304486,0.005760951,0.002028646,0.000823426,-0.001398297,0.000934817,0.001733441,0.004469366
Cold Male,-0.016092919,0.007459074,-0.002663355,0.00106438,0.000695735,0.001213594,-0.019184042,0.00589904
Age 0-10 All,0.007436694,0.020940596,0.001080509,0.003661351,0.00066666,0.002401378,0.03496438,0.01985351
Age 0-10 Female,-0.01771719,0.02825103,-0.002312642,0.004903227,-0.001865395,0.003240457,0.02291837,0.02677284
Age 0-10 Male,0.02853337,0.02654204,0.004074662,0.004670782,0.002710163,0.003043291,0.04588589,0.02521205
Age 11-60 All,-0.013222881,0.005083377,-0.001986396,0.000893523,-0.001118021,0.000574126,-0.0157847,0.0049137
Age 11-60 Female,-0.003789313,0.006330333,-0.000442219,0.001111993,-0.000452867,0.000717849,-0.007646341,0.0060539
Age 11-60 Male,-0.029803349,0.008271139,-0.004697602,0.001454687,-0.002267825,0.000927649,-0.030737047,0.008155714
Age 60+All,0.004502377,0.008170208,0.002472866,0.001423448,-0.001518291,0.000929152,-0.011273533,0.007883427
Age 60+ Female,0.01245787,0.01073614,0.004951165,0.001865593,-0.002237443,0.001225693,0.002451092,0.010332205
Age 60+ Male,-0.00571337,0.01232396,-0.000746014,0.002153463,-0.000587207,0.001395801,-0.02910642,0.01195031
All: LAG 3,-0.011000135,0.004349665,-0.00164733,0.000764019,-0.000931008,0.00049232,-0.009130858,0.004138454
Female,-0.007794916,0.005385093,-0.000894388,0.000945328,-0.000936317,0.000609403,-0.007052805,0.005100788
Male,-0.016113049,0.006829132,-0.002837692,0.001200143,-0.000935859,0.000772811,-0.012484073,0.006544257
Warm All,-0.010285501,0.004151749,-0.001883361,0.000916237,-0.000894481,0.000401108,-0.016943489,0.004951898
Warm Female,-0.013960241,0.005094274,-0.003285152,0.00112261,-0.000863329,0.000492731,-0.021605969,0.006062058
Warm Male,-0.004673589,0.006426823,0.000303667,0.001420825,-0.000955294,0.000620024,-0.009713592,0.007697912
Cold All,-0.00877139,0.004651601,-0.001063152,0.000667957,-0.000919207,0.000745688,-0.003801296,0.003591456
Cold Female,0.004547472,0.005800887,0.001007525,0.000832722,-0.000908212,0.000928109,0.002052459,0.004456945
Cold Male,-0.02982489,0.007417705,-0.004325924,0.001064865,-0.00096059,0.001194045,-0.013112086,0.005780728
Age 0-10 All,-0.01199972,0.02081733,-0.002952441,0.00359423,0.000279837,0.002407196,-0.006181706,0.019975367
Age 0-10 Female,-0.004824722,0.027572836,-0.001903525,0.004804514,0.000856254,0.003171026,-0.03456245,0.02654115
Age 0-10 Male,-0.01664955,0.02683796,-0.003544182,0.00460157,-0.000172724,0.003114397,0.01956911,0.02566774
Age 11-60 All,-0.016863232,0.005093369,-0.002413093,0.000896765,-0.001552412,0.000575767,-0.011054848,0.004859234
Age 11-60 Female,-0.014268825,0.006354987,-0.001873231,0.001116866,-0.001480313,0.000719132,-0.005957446,0.006003532
Age 11-60 Male,-0.02148306,0.008265457,-0.003373983,0.001458503,-0.001688105,0.000932142,-0.02035054,0.00801505
Age 60+All,0.004790165,0.008207584,0.000556496,0.001437049,0.00057827,0.000929247,-0.004477402,0.007754842
Age 60+ Female,0.01144535,0.01082301,0.002143037,0.001895688,0.000529206,0.001223286,-0.007298034,0.010337487
Age 60+ Male,-0.003996647,0.012325294,-0.001506636,0.002156537,0.00061822,0.001398664,-0.001042147,0.011500282
All: LAG 4,-0.005907818,0.004364714,-0.001230089,0.000769805,-0.000159537,0.000491319,-0.007566222,0.004096275
Female,0.00206116,0.005398658,-4.58E-06,0.000952687,0.000496591,0.000607314,-0.006409509,0.00506126
Male,-0.01834267,0.00685079,-0.003139466,0.001207455,-0.001184165,0.000771785,-0.009385195,0.006444349
Warm All,0.000190202,0.004147039,0.000121317,0.000915377,-2.77E-05,0.000400727,-0.008376804,0.004902034
Warm Female,0.00776227,0.005082953,0.00150971,0.001119798,0.000643169,0.000491963,-0.005695483,0.005987363
Warm Male,-0.01163619,0.00645089,-0.002067102,0.001428582,-0.00106818,0.000621708,-0.012597417,0.007675448
Cold All,-0.010177287,0.004674006,-0.001576123,0.000674017,-4.86E-05,0.000738391,-0.006483505,0.003547962
Cold Female,-0.001563437,0.00585179,-0.000407199,0.000844476,0.000481681,0.000921066,-0.006529338,0.00443591
Cold Male,-0.023498643,0.007428004,-0.003377511,0.001069924,-0.000881479,0.001179735,-0.006392492,0.00565032
Age 0-10 All,-0.02012032,0.02090317,-0.003108275,0.003633378,-0.001568239,0.002373637,-0.02271138,0.01990276
Age 0-10 Female,-0.003681385,0.027621587,0.001770257,0.004839378,-0.002744939,0.003138201,-0.04828733,0.02755486
Age 0-10 Male,-0.03511947,0.02702318,-0.007315719,0.004665465,-0.000600145,0.003065537,-0.003807202,0.024780424
Age 11-60 All,-0.007952566,0.005112732,-0.001317495,0.000903172,-0.000565046,0.000574983,-0.01007204,0.004807182
Age 11-60 Female,-0.001400254,0.006376577,-0.000486656,0.001124583,0.000153984,0.000718081,-0.004349355,0.005948145
Age 11-60 Male,-0.019359251,0.008282713,-0.002784754,0.001467205,-0.001799375,0.000929112,-0.020411872,0.007898639
Age 60+All,0.001631306,0.008233427,-0.000707968,0.001449606,0.001121937,0.000927676,0.001119857,0.007679019
Age 60+ Female,0.01316636,0.01084657,0.001258999,0.001919398,0.001875551,0.001215371,-0.008346608,0.010268819
Age 60+ Male,-0.01326547,0.01237473,-0.003195391,0.002165187,0.000127198,0.001404699,0.01268381,0.0113265
All: LAG 5,0.001199055,0.004348546,0.000251078,0.000769443,3.62E-05,0.000488518,-0.006955613,0.004064303
Female,0.002783899,0.00536892,0.00066538,0.000950384,-6.91E-06,0.000603136,-0.00071114,0.004996548
Male,-0.001267326,0.006843542,-0.00039233,0.00121004,0.000103861,0.000768842,-0.016947154,0.006440429
Warm All,-0.000197455,0.004133739,7.72E-05,0.000913066,-6.45E-05,0.000399036,-0.009559019,0.00481824
Warm Female,0.00208993,0.005061132,0.000298527,0.00111809,0.000227931,0.000488955,-0.002612794,0.005851046
Warm Male,-0.003821711,0.006427738,-0.000276206,0.001419371,-0.000524508,0.000619687,-0.020947143,0.007599164
Cold All,0.00584001,0.004666527,0.000655936,0.000675595,0.000784548,0.00073617,-0.005679635,0.003545708
Cold Female,0.006586851,0.005820525,0.00121781,0.000842562,-0.000530398,0.000916441,9.92E-05,0.004411205
Cold Male,0.004800176,0.007454335,-0.000207568,0.001078874,0.002885715,0.001178893,-0.014802033,0.005681138
Age 0-10 All,0.03232162,0.02107278,0.005911181,0.003683582,0.001578117,0.002374187,-0.01312837,0.02026514
Age 0-10 Female,0.05079921,0.02799626,0.007090064,0.004879733,0.00481496,0.003178108,-0.01079659,0.02682587
Age 0-10 Male,0.01720782,0.02710736,0.004855444,0.004750546,-0.000907966,0.003033164,-0.01499818,0.02612774
Age 11-60 All,-0.006751655,0.005091542,-0.001049381,0.000902339,-0.000550377,0.000571501,-0.01142659,0.0047705
Age 11-60 Female,-0.005051956,0.006336586,-0.000943267,0.001122822,-0.000261413,0.000712741,-0.004317712,0.005903171
Age 11-60 Male,-0.009698263,0.008283007,-0.001226731,0.001468161,-0.001051833,0.000926248,-0.024204369,0.007843948
Age 60+All,0.018140121,0.008188362,0.002898057,0.001445583,0.00140215,0.000921863,0.005548318,0.007574987
Age 60+ Female,0.02121047,0.01080334,0.004773412,0.001909972,0.000255706,0.001207561,0.011041074,0.009990088
Age 60+ Male,0.01420435,0.01229307,0.000498088,0.002165885,0.002945148,0.001396593,-0.001524813,0.011372223
All: LAG 6,0.009528246,0.004322809,0.001213115,0.000763305,0.001055718,0.000489304,0.008359152,0.003987026
Female,0.01246805,0.00534377,0.002372768,0.000944551,0.00058378,0.000604772,0.014790773,0.004898472
Male,0.004900249,0.006797569,-0.000592446,0.001197399,0.001798368,0.000769363,-0.001918263,0.006323675
Warm All,0.007331501,0.004141383,0.001639641,0.00091,0.000498521,0.000400255,0.011912305,0.004712054
Warm Female,0.007149515,0.005068078,0.002183884,0.001113489,0.000207762,0.00049006,0.015992243,0.005747679
Warm Male,0.007500917,0.006445617,0.00073939,0.001416697,0.000956038,0.000622174,0.005378308,0.007375691
Cold All,0.014789999,0.004589362,0.001277404,0.000668814,0.003248292,0.000729852,0.00641682,0.003495731
Cold Female,0.022182525,0.005735726,0.002835341,0.000836174,0.002130066,0.000914147,0.013877857,0.004330667
Cold Male,0.003338747,0.007304568,-0.00112451,0.001061646,0.005000923,0.00116026,-0.005525712,0.005624627
Age 0-10 All,0.01198807,0.02076314,0.001099041,0.003603554,0.001744617,0.002358526,-0.006352451,0.019336728
Age 0-10 Female,0.01241,0.02753718,0.003256595,0.004778057,-0.000475779,0.003145074,0.007830229,0.025714878
Age 0-10 Male,0.01207484,0.02676546,-0.000822726,0.004645762,0.00381039,0.003029661,-0.01848654,0.02487154
Age 11-60 All,0.004565078,0.005061012,0.000793529,0.000893816,0.000284828,0.000572657,0.005998226,0.004669262
Age 11-60 Female,0.006045976,0.006302384,0.001223859,0.001113883,0.000202056,0.000713693,0.011532508,0.005784183
Age 11-60 Male,0.001919515,0.008221428,3.64E-05,0.001450084,0.000424017,0.000928791,-0.003842433,0.007652788
Age 60+All,0.022817974,0.008169744,0.002427138,0.001444601,0.00303388,0.000924665,0.016956083,0.007517724
Age 60+ Female,0.032397372,0.010778445,0.005856592,0.001910715,0.001869681,0.001214427,0.025491157,0.009830832
Age 60+ Male,0.01036569,0.01228177,-0.001926874,0.002162308,0.004564039,0.001398238,0.005485869,0.011420845
All: LAG 7,0.010000702,0.004311614,0.001291389,0.000760629,0.001087474,0.000489802,0.009069765,0.00397514
Female,0.013658162,0.005328109,0.002173659,0.000940463,0.001072003,0.000605915,0.011933055,0.004887373
Male,0.004259749,0.00677691,-8.68E-05,0.001193809,0.001111215,0.000768858,0.004495045,0.006297503
Warm All,0.014327382,0.004124762,0.002896541,0.000900149,0.001113197,0.000401248,0.009152153,0.004727002
Warm Female,0.013495275,0.005064076,0.003091373,0.001105115,0.000876318,0.000492843,0.010609292,0.005760342
Warm Male,0.01558813,0.006406814,0.002582643,0.001397637,0.001480196,0.000622287,0.006745063,0.007416465
Cold All,0.007540774,0.004565102,0.000782577,0.000666724,0.001242324,0.000723386,0.009047836,0.003463795
Cold Female,0.017607307,0.005693626,0.002136725,0.000832511,0.002039014,0.000904466,0.01305083,0.00430409
Cold Male,-0.008199911,0.007272884,-0.001326467,0.001060406,9.86E-06,0.001149521,0.002698992,0.005559186
Age 0-10 All,0.005932943,0.02055843,-0.000842416,0.003586448,0.002360566,0.002341686,0.004173261,0.019290096
Age 0-10 Female,-0.0199231,0.02755613,-0.006829071,0.004852514,0.002352743,0.003124134,-0.03162302,0.02669862
Age 0-10 Male,0.0274209,0.02622553,0.00392518,0.004539362,0.002433532,0.002998055,0.03094214,0.02397326
Age 11-60 All,0.011352687,0.005045515,0.001705574,0.000891054,0.000990261,0.000572625,0.007860531,0.004655407
Age 11-60 Female,0.016363256,0.006282637,0.002537622,0.001108234,0.001347636,0.000715172,0.01179277,0.00575846
Age 11-60 Male,0.002592373,0.008195763,0.000243645,0.001450199,0.000372524,0.000925348,0.000769881,0.00764785
Age 60+All,0.007093883,0.008144968,0.000504189,0.00143397,0.001196575,0.000927695,0.013074856,0.007475336
Age 60+ Female,0.009437949,0.010706475,0.002098311,0.001893853,0.000139827,0.00121368,0.016914384,0.009778581
Age 60+ Male,0.004159944,0.012283347,-0.001522145,0.0021489,0.00263665,0.001407915,0.008116016,0.011355846
All: LAG 8,0.003802882,0.004328872,0.000308193,0.000766262,0.000598541,0.000487089,0.003973677,0.004002886
Female,0.004913836,0.005360926,0.000695529,0.000948881,0.000480481,0.000603278,0.006042496,0.004926825
Male,0.002081735,0.00677759,-0.000294218,0.001199665,0.000784068,0.000762688,0.000680769,0.006332013
Warm All,0.004166935,0.004165884,0.000948582,0.00091328,0.000272435,0.000400441,-0.004454295,0.004794144
Warm Female,0.004591641,0.005115661,0.001745174,0.001121047,-3.19E-05,0.000492259,-0.003265028,0.005839865
Warm Male,0.003516728,0.006450128,-0.000293752,0.001414439,0.000746915,0.00061892,-0.006441471,0.00751941
Cold All,0.007079976,0.004530156,0.000460529,0.000665683,0.00196885,0.000710894,0.008959736,0.003449653
Cold Female,0.009555747,0.005674585,0.000708535,0.000832883,0.002423449,0.000890566,0.011893484,0.004293997
Cold Male,0.003375179,0.007209052,8.38E-05,0.001060969,0.001296771,0.001132161,0.004452587,0.005555285
Age 0-10 All,-0.02049558,0.02057399,-0.006369136,0.003629187,0.001581257,0.002329742,0.01083845,0.01906139
Age 0-10 Female,-0.06341589,0.02780862,-0.015461006,0.004928655,0.000540226,0.003117152,-0.04329011,0.02684874
Age 0-10 Male,0.01520145,0.02612575,0.001005653,0.004592155,0.002584289,0.002979153,0.04963897,0.02339308
Age 11-60 All,0.005142446,0.005065371,0.000689722,0.000897484,0.000536966,0.00056948,0.001888743,0.004678291
Age 11-60 Female,0.009271651,0.006325854,0.001450976,0.001119597,0.000761132,0.00071211,0.006448125,0.005789118
Age 11-60 Male,-0.001978481,0.008178826,-0.000633384,0.001451817,0.000155782,0.000917717,-0.006202026,0.007675822
Age 60+All,0.003741438,0.008175591,0.000262508,0.001444054,0.000627752,0.000921576,0.008699667,0.007590214
Age 60+ Female,-0.000137026,0.010750954,0.000323143,0.001902926,-0.000357481,0.001209302,0.009953076,0.009954912
Age 60+ Male,0.008877379,0.012312135,0.000205781,0.00216865,0.001922454,0.001391677,0.006982572,0.011480434
All: LAG 9,0.003977799,0.004342067,0.000334277,0.000768666,0.00060907,0.000488412,0.003436355,0.003964832
Female,0.008431512,0.005371595,0.001270681,0.000950806,0.000739191,0.000605448,0.009102328,0.00486804
Male,-0.002941586,0.006803835,-0.001126904,0.001204571,0.000414925,0.000763208,-0.005663601,0.006289527
Warm All,0.006256692,0.004191011,0.000913201,0.000921699,0.000655801,0.000402406,0.00286528,0.004745672
Warm Female,0.006113102,0.005149587,0.001565208,0.001129669,0.000324622,0.000495804,0.00451505,0.005792676
Warm Male,0.006547474,0.006471087,-0.000116133,0.001428271,0.001177792,0.000618671,0.000205766,0.007401552
Cold All,0.00394753,0.004556773,0.000359343,0.000670037,0.000779376,0.000711562,0.003814067,0.003435646
Cold Female,0.013712474,0.005675983,0.001474398,0.000836826,0.002150901,0.000884731,0.011944435,0.004252143
Cold Male,-0.0113169,0.007278455,-0.001366707,0.001066316,-0.00138473,0.001140078,-0.009258581,0.005550105
Age 0-10 All,0.01884315,0.02073757,0.001837347,0.003651115,0.002630422,0.002349628,-0.02580151,0.01921842
Age 0-10 Female,0.01180351,0.02781609,-0.002039783,0.004897622,0.004892085,0.003126535,-0.01212402,0.02546565
Age 0-10 Male,0.02515366,0.02649247,0.005106483,0.004666265,0.000772814,0.00302764,-0.03742265,0.02477856
Age 11-60 All,0.004265605,0.005078086,0.000460309,0.000900373,0.000553855,0.000570376,0.000854631,0.004641391
Age 11-60 Female,0.010110041,0.006326144,0.001650709,0.001121384,0.0007682,0.000712971,0.005156144,0.005739231
Age 11-60 Male,-0.005788577,0.008228277,-0.001593248,0.001459419,0.000195527,0.000919266,-0.006812986,0.007622598
Age 60+All,0.000982701,0.0081982,-0.000225839,0.001446026,0.000458515,0.000925197,0.014394276,0.007461691
Age 60+ Female,0.002742561,0.010809873,0.000479525,0.001905663,0.000153943,0.001219397,0.023688655,0.009771241
Age 60+ Male,-0.001607183,0.012302788,-0.001169522,0.002171479,0.000808753,0.001388981,0.002259216,0.01130975
All: LAG 10,0.002613001,0.004379192,0.000394404,0.000773345,0.000219899,0.000493249,0.003822873,0.003929903
Female,0.006226443,0.005412737,0.000886789,0.000955082,0.000588699,0.000610118,0.007696681,0.004837291
Male,-0.002947433,0.00686895,-0.000364037,0.001214589,-0.000348405,0.000772834,-0.002322116,0.006208102
Warm All,0.00207626,0.004239185,0.000262614,0.000929144,0.000232058,0.000408216,0.006443259,0.004666076
Warm Female,0.004772966,0.005194099,0.001379498,0.001133889,0.000161669,0.000501382,0.0084183,0.005687592
Warm Male,-0.002066619,0.006573934,-0.001509278,0.001449412,0.000349815,0.000630662,0.003203061,0.007295945
Cold All,0.004486509,0.004593307,0.000666359,0.00067559,0.000171633,0.000707639,0.001686038,0.00343114
Cold Female,0.009807261,0.005725133,0.000905716,0.000842813,0.001904098,0.000878992,0.006783512,0.004265307
Cold Male,-0.003816599,0.007310096,0.000296336,0.001073821,-0.002582742,0.001131202,-0.006357979,0.005489036
Age 0-10 All,0.02281567,0.02077041,0.003722783,0.003595388,0.001584455,0.002399302,0.007986289,0.019178071
Age 0-10 Female,-0.02944541,0.02773351,-0.004947775,0.004861113,-0.002033552,0.003164785,-0.003104678,0.02576905
Age 0-10 Male,0.06773484,0.02659922,0.01095676,0.00456511,0.004713991,0.003101608,0.01808094,0.02442064
Age 11-60 All,0.003782441,0.005125768,0.000681477,0.000906416,0.000219898,0.000576597,-0.001014897,0.004614304
Age 11-60 Female,0.01217275,0.00637649,0.001875928,0.001125909,0.001021845,0.000718928,0.0021202,0.005711784
Age 11-60 Male,-0.010713759,0.008318115,-0.00140339,0.001474906,-0.001147546,0.000932293,-0.006566011,0.007562447
Age 60+All,-0.003391881,0.008265965,-0.000849913,0.001458688,2.18E-05,0.000931139,0.0160075,0.007328565
Age 60+ Female,-0.007584405,0.010883662,-0.00136127,0.001917985,-0.000461854,0.001224734,0.025519991,0.009632255
Age 60+ Male,0.001798433,0.012400153,-0.000181144,0.002192047,0.000592449,0.001398829,0.00338008,0.01103986
All: LAG 11,-0.000585693,0.004404761,0.000419577,0.000781303,-0.000558088,0.000492254,0.000113675,0.003937102
Female,-0.00131633,0.005448223,0.000316857,0.000966889,-0.000633553,0.000609086,0.003350271,0.004847174
Male,0.000499773,0.006902049,0.000569118,0.001223393,-0.000443153,0.000771093,-0.005154905,0.006216734
Warm All,-0.001298637,0.004243494,0.000895129,0.000930864,-0.000655594,0.000407427,-0.00423514,0.004685011
Warm Female,-0.006384012,0.005195666,1.90E-05,0.001137555,-0.001135237,0.000500033,0.002360683,0.00567898
Warm Male,0.00662402,0.00658356,0.002281448,0.001449373,8.05E-05,0.000630029,-0.0153896,0.007389731
Cold All,0.001827145,0.004645261,0.000382441,0.000685928,-0.00023122,0.000702758,0.002142608,0.003435053
Cold Female,0.008203839,0.005805222,0.000917109,0.000857966,0.00112678,0.000878116,0.003649209,0.004283945
Cold Male,-0.008109711,0.007346836,-0.000460909,0.001083737,-0.002318418,0.00111095,-0.000296681,0.005456121
Age 0-10 All,0.01671778,0.02103852,0.00484786,0.003689962,-0.001030011,0.00239382,0.00227095,0.01890893
Age 0-10 Female,-0.0236327,0.02779735,-0.00220908,0.004961015,-0.003564877,0.003145093,-0.001851881,0.025525662
Age 0-10 Male,0.05189059,0.02714665,0.010612663,0.004688698,0.001215836,0.003110752,0.005015653,0.023942491
