G40-G47,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Male,-0.01472905,0.01828961,-0.08948887,0.16582256,-0.000181408,0.002118642,-0.00323029,0.002325676
All: LAG 3,-0.015272086,0.006414358,-0.11749332,0.05829853,-0.000299449,0.000751252,-0.001391972,0.000808273
Female,-0.009600891,0.007926957,-0.04393824,0.07187865,-0.000314267,0.000930655,-0.001005285,0.00099874
Male,-0.02441399,0.01009908,-0.23483587,0.09208613,-0.000286082,0.001177139,-0.002033346,0.001272395
Warm All,-0.010388077,0.006128095,-0.16407536,0.07500609,-0.000527811,0.000706563,-0.000449095,0.000869757
Warm Female,-0.014146246,0.007505533,-0.15764812,0.0912507,0.000253565,0.000867714,-0.001090979,0.00106365
Warm Male,-0.004784021,0.009512085,-0.1792136,0.1174882,-0.001764173,0.001091816,0.00050472,0.001353028
Cold All,-0.018175698,0.006835066,-0.08373372,0.04872642,-0.000280882,0.000823781,-0.001968082,0.00075819
Cold Female,0.000453872,0.008511005,0.01306633,0.06067919,-0.001362796,0.001029123,-0.000924002,0.000945429
Cold Male,-0.04783285,0.01094022,-0.237084054,0.078100085,0.001400138,0.001310204,-0.003613363,0.00121196
Age 0-10 All,-0.01667893,0.03107007,-0.150422,0.285731,0.000110134,0.003665447,0.000652233,0.003918347
Age 0-10 Female,-0.002261454,0.0413482,-0.1345491,0.3927168,0.002172804,0.004900403,0.000533786,0.005272488
Age 0-10 Male,-0.02701415,0.03989691,-0.1506788,0.3572609,-0.001827014,0.004688777,0.001022938,0.004984111
Age 11-60 All,-0.02395237,0.007502743,-0.192056097,0.068158411,-0.000727332,0.000880275,-0.002248039,0.000945207
Age 11-60 Female,-0.017896747,0.009342664,-0.10450361,0.08446476,-0.000527395,0.001100004,-0.001562475,0.001174907
Age 11-60 Male,-0.034841208,0.012216087,-0.351237544,0.111933098,-0.001078665,0.001421819,-0.003504191,0.001542716
Age 60+All,0.00829417,0.01211763,0.08690602,0.11008421,0.000805775,0.001412375,0.000642244,0.001528218
Age 60+ Female,0.01482831,0.01596449,0.150637,0.1459674,9.12E-05,0.001857688,0.000534726,0.002021875
Age 60+ Male,-0.000390402,0.018220938,0.005920456,0.164296739,0.001743401,0.002128066,0.000750885,0.002285523
All: LAG 4,-0.01080258,0.00643939,-0.04247117,0.05840808,2.28E-05,0.000753095,-0.001182309,0.000809669
Female,0.001564642,0.007956859,0.05089882,0.07162056,0.00011292,0.000932836,0.000402289,0.000996388
Male,-0.030203321,0.010125459,-0.1938659,0.09292891,-0.000112547,0.001179449,-0.003709912,0.00128123
Warm All,-0.001272263,0.006129789,-0.01426129,0.07475207,-0.0004064,0.000710188,-5.14E-05,0.000865988
Warm Female,0.008382689,0.007508854,0.0970995,0.09095805,-5.68E-05,0.000874171,0.001209057,0.001054711
Warm Male,-0.01638468,0.00954643,-0.19651167,0.1177173,-0.000934879,0.001098078,-0.002085942,0.001361162
Cold All,-0.018602823,0.006859655,-0.05549186,0.04886,0.000776927,0.000822074,-0.00194575,0.000760059
Cold Female,-0.002889168,0.008571618,0.0295801,0.0605115,0.000434707,0.001027952,-0.000218157,0.000946237
Cold Male,-0.04317672,0.01093815,-0.19249992,0.07887982,0.001300793,0.001308249,-0.00468129,0.00121875
Age 0-10 All,-0.0296304,0.03128457,-0.314393,0.2839675,-0.000393378,0.003574537,-0.002807828,0.003991781
Age 0-10 Female,-0.02691044,0.04177515,-0.3538226,0.3846357,-0.006109475,0.004762576,-0.004722849,0.005394093
Age 0-10 Male,-0.03251759,0.04008871,-0.2911552,0.3590122,0.004411539,0.004587726,-0.001166685,0.005064805
Age 11-60 All,-0.014831298,0.007539208,-0.0666716,0.06839196,-0.000756967,0.000883445,-0.00137509,0.000946267
Age 11-60 Female,-0.002126065,0.009379715,0.02071003,0.08427015,-0.000209412,0.001103373,0.000525055,0.001170513
Age 11-60 Male,-0.03728631,0.012268943,-0.22865534,0.11326756,-0.001695897,0.001427593,-0.004813353,0.001554803
Age 60+All,0.002620456,0.012138886,0.06060192,0.10985317,0.002134999,0.001415916,-0.000440883,0.001531049
