Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Male,-0.033436,0.038025,0.356487,0.336348,-0.007368,0.004467,0.002439,0.004761
Age 11-60 All,-0.005488,0.005044,-0.054607,0.044980,-0.000411,0.000603,-0.000204,0.000633
Age 11-60 Female,-0.010197,0.007071,-0.103996,0.063405,-0.000590,0.000845,-0.001093,0.000889
Age 11-60 Male,-0.001857,0.006258,-0.017621,0.055552,-0.000272,0.000749,0.000478,0.000784
Age 60+All,0.007660,0.003716,0.037762,0.032939,-0.000193,0.000447,0.001003,0.000464
Age 60+ Female,0.008557,0.004734,0.060035,0.041926,-0.000796,0.000570,0.001166,0.000591
Age 60+ Male,0.006723,0.005073,0.014237,0.044990,0.000441,0.000608,0.000830,0.000635
All: LAG 4,0.003575,0.003290,-0.007201,0.028976,0.000162,0.000395,0.000370,0.000412
Female,0.009148,0.004154,0.035978,0.036628,0.000379,0.000499,0.000784,0.000520
Male,-0.001645,0.004210,-0.047468,0.037061,-0.000043,0.000505,-0.000018,0.000528
Warm All,0.005481,0.003984,-0.009099,0.034295,0.000374,0.000513,0.000473,0.000500
Warm Female,0.010010,0.004617,0.030028,0.039723,0.000530,0.000595,0.000948,0.000578
Warm Male,0.001257,0.004637,-0.045489,0.039929,0.000228,0.000596,0.000026,0.000584
Cold All,-0.001346,0.004153,-0.008048,0.037874,-0.000224,0.000437,-0.000031,0.000527
Cold Female,0.006427,0.005093,0.043329,0.046554,0.000102,0.000536,0.000264,0.000648
Cold Male,-0.008721,0.005194,-0.056184,0.047309,-0.000536,0.000547,-0.000307,0.000658
Age 0-10 All,0.011650,0.031636,-0.284057,0.283671,0.004224,0.003727,0.004514,0.003916
Age 0-10 Female,-0.024784,0.043899,-0.864158,0.398750,0.006179,0.005176,0.001637,0.005495
Age 0-10 Male,0.035086,0.038371,0.090420,0.341617,0.002921,0.004519,0.006316,0.004718
Age 11-60 All,-0.005284,0.005060,-0.102258,0.044694,0.000738,0.000607,-0.000575,0.000636
Age 11-60 Female,-0.002515,0.007099,-0.136640,0.062980,0.002089,0.000848,-0.001057,0.000892
Age 11-60 Male,-0.007312,0.006270,-0.075885,0.055267,-0.000297,0.000753,-0.000195,0.000788
Age 60+All,0.008328,0.003723,0.046335,0.032740,-0.000192,0.000447,0.000839,0.000465
Age 60+ Female,0.014743,0.004743,0.119590,0.041668,-0.000454,0.000571,0.001609,0.000592
Age 60+ Male,0.001536,0.005077,-0.031212,0.044651,0.000083,0.000609,0.000018,0.000636
All: LAG 5,0.003469,0.003301,0.003235,0.028971,0.000246,0.000394,0.000351,0.000412
Female,0.007091,0.004165,0.026656,0.036597,0.000574,0.000498,0.000613,0.000520
Male,0.000079,0.004230,-0.018597,0.037092,-0.000060,0.000504,0.000107,0.000528
Warm All,0.000754,0.003999,0.009909,0.034385,-0.000273,0.000510,0.000248,0.000502
