Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Female,0.004945,0.046075,-0.028703,0.373378,-0.003243,0.005583,-0.003591,0.005737
Age 0-10 Male,0.006511,0.039566,0.042774,0.332203,-0.000541,0.004744,-0.001239,0.005000
Age 11-60 All,0.007642,0.003314,0.061797,0.029396,-0.000098,0.000398,0.001137,0.000414
Age 11-60 Female,0.007357,0.004617,0.082583,0.040765,-0.000320,0.000557,0.001406,0.000576
Age 11-60 Male,0.007929,0.004397,0.043435,0.039173,0.000097,0.000526,0.000902,0.000550
Age 60+All,-0.010437,0.007268,-0.044505,0.065540,-0.000933,0.000863,-0.000583,0.000910
Age 60+ Female,-0.015624,0.009756,-0.118101,0.088419,-0.000017,0.001158,-0.001246,0.001225
Age 60+ Male,-0.004058,0.010597,0.045175,0.094997,-0.002056,0.001257,0.000223,0.001323
All: LAG 4,0.004048,0.003089,0.049089,0.027326,0.000192,0.000370,0.000676,0.000385
Female,0.001726,0.004229,0.013048,0.037314,0.000456,0.000507,0.000355,0.000527
Male,0.006167,0.004157,0.082393,0.036866,-0.000049,0.000498,0.000971,0.000518
Warm All,0.007157,0.002817,0.127508,0.033721,0.000153,0.000335,0.001165,0.000393
Warm Female,0.008424,0.003864,0.081802,0.046242,0.000484,0.000459,0.001307,0.000538
Warm Male,0.005956,0.003909,0.168358,0.046774,-0.000149,0.000464,0.001031,0.000545
Cold All,-0.000238,0.003441,0.010474,0.023809,0.000299,0.000423,0.000136,0.000379
Cold Female,-0.007239,0.004704,-0.021597,0.032502,0.000485,0.000579,-0.000518,0.000519
Cold Male,0.006292,0.004499,0.040553,0.031226,0.000127,0.000553,0.000743,0.000494
Age 0-10 All,0.024716,0.034400,0.150619,0.284672,0.000947,0.004169,-0.001757,0.004337
Age 0-10 Female,-0.015281,0.046457,-0.019736,0.388844,-0.000403,0.005566,-0.005720,0.005714
Age 0-10 Male,0.046126,0.039616,0.249791,0.325233,0.001407,0.004826,0.000588,0.005066
Age 11-60 All,0.006136,0.003333,0.061722,0.029489,0.000230,0.000400,0.000846,0.000415
Age 11-60 Female,0.004800,0.004641,0.046217,0.040852,0.000206,0.000559,0.000698,0.000578
Age 11-60 Male,0.007313,0.004417,0.075682,0.039252,0.000251,0.000530,0.000977,0.000550
Age 60+All,-0.009510,0.007297,-0.032886,0.065086,-0.000063,0.000864,-0.000268,0.000911
Age 60+ Female,-0.013731,0.009802,-0.161603,0.088084,0.001708,0.001158,-0.001263,0.001226
Age 60+ Male,-0.004429,0.010637,0.118487,0.093886,-0.002228,0.001261,0.000928,0.001325
All: LAG 5,0.003007,0.003090,0.027546,0.027393,-0.000155,0.000370,0.000415,0.000384
Female,0.003418,0.004223,0.010496,0.037386,0.000239,0.000507,0.000674,0.000524
Male,0.002617,0.004160,0.043225,0.036946,-0.000515,0.000498,0.000176,0.000518
Warm All,0.004942,0.002808,0.084386,0.033556,-0.000529,0.000334,0.000618,0.000391
Warm Female,0.009761,0.003842,0.086176,0.045876,-0.000305,0.000458,0.001366,0.000535
Warm Male,0.000528,0.003908,0.082397,0.046788,-0.000735,0.000464,-0.000068,0.000545
Cold All,-0.000450,0.003445,-0.000217,0.023933,0.000324,0.000424,0.000114,0.000377
Cold Female,-0.006229,0.004710,-0.024107,0.032709,0.000860,0.000580,-0.000002,0.000516
Cold Male,0.004868,0.004501,0.021698,0.031319,-0.000168,0.000553,0.000224,0.000493
Age 0-10 All,0.018048,0.034402,0.049724,0.280852,-0.001888,0.004228,0.001786,0.004277
Age 0-10 Female,0.071932,0.046303,0.148064,0.378301,0.001513,0.005676,0.006658,0.005651
Age 0-10 Male,-0.013126,0.039711,-0.010642,0.323772,-0.003608,0.004879,-0.001082,0.004980
Age 11-60 All,0.003610,0.003333,0.023768,0.029546,0.000011,0.000400,0.000340,0.000414
Age 11-60 Female,0.004599,0.004632,0.027552,0.040890,0.000299,0.000558,0.000751,0.000574
Age 11-60 Male,0.002733,0.004419,0.020469,0.039304,-0.000241,0.000529,-0.000023,0.000550
Age 60+All,-0.001248,0.007311,0.048912,0.065491,-0.001048,0.000864,0.000833,0.000914
Age 60+ Female,-0.004408,0.009799,-0.088226,0.088599,-0.000052,0.001157,0.000129,0.001226
Age 60+ Male,0.002606,0.010655,0.209061,0.094277,-0.002258,0.001259,0.001682,0.001330
All: LAG 6,0.001083,0.003082,0.012016,0.027577,-0.000132,0.000371,0.000307,0.000383
Female,0.003570,0.004207,0.021382,0.037549,0.000460,0.000508,0.000628,0.000522
Male,-0.001200,0.004152,0.003415,0.037264,-0.000672,0.000499,0.000010,0.000517
Warm All,0.003983,0.002807,0.056951,0.033570,-0.000154,0.000334,0.000957,0.000391
Warm Female,0.008003,0.003835,0.097768,0.045824,0.000308,0.000458,0.001564,0.000533
Warm Male,0.000324,0.003911,0.019664,0.046851,-0.000568,0.000464,0.000403,0.000545
Cold All,-0.004074,0.003420,-0.011018,0.024138,-0.000061,0.000426,-0.000407,0.000375
Cold Female,-0.002991,0.004663,-0.016125,0.032849,0.000728,0.000581,-0.000320,0.000512
Cold Male,-0.005090,0.004477,-0.006269,0.031679,-0.000792,0.000558,-0.000492,0.000491
Age 0-10 All,0.012106,0.033988,0.233659,0.284091,0.000385,0.004223,0.003445,0.004175
Age 0-10 Female,0.029867,0.045232,0.116063,0.378966,0.013235,0.005621,-0.001846,0.005560
Age 0-10 Male,0.001609,0.039459,0.304523,0.330138,-0.006910,0.004903,0.006160,0.004841
Age 11-60 All,0.001732,0.003326,0.017246,0.029720,-0.000062,0.000401,0.000355,0.000413
Age 11-60 Female,0.004632,0.004620,0.033973,0.041092,0.000598,0.000559,0.000730,0.000573
Age 11-60 Male,-0.000807,0.004408,0.002441,0.039561,-0.000635,0.000530,0.000026,0.000548
Age 60+All,-0.003275,0.007285,-0.031764,0.066053,-0.000565,0.000870,-0.000121,0.000908
Age 60+ Female,-0.002645,0.009734,-0.051314,0.088790,-0.000546,0.001163,0.000172,0.001211
Age 60+ Male,-0.004166,0.010655,-0.009740,0.095882,-0.000570,0.001272,-0.000506,0.001331
All: LAG 7,0.003125,0.003080,0.025431,0.027758,-0.000423,0.000371,0.000506,0.000383
Female,0.003195,0.004208,0.034889,0.037837,-0.000536,0.000508,0.000481,0.000523
Male,0.003039,0.004143,0.016588,0.037476,-0.000322,0.000497,0.000531,0.000516
Warm All,0.005359,0.002815,0.000008,0.033948,-0.000045,0.000332,0.000921,0.000393
Warm Female,0.003179,0.003848,0.012399,0.046394,-0.000076,0.000456,0.000261,0.000537
Warm Male,0.007328,0.003910,-0.010622,0.047389,-0.000020,0.000460,0.001524,0.000546
Cold All,-0.000517,0.003408,0.038142,0.024307,-0.001115,0.000427,0.000068,0.000374
Cold Female,0.002625,0.004660,0.043482,0.033139,-0.001202,0.000584,0.000562,0.000511
Cold Male,-0.003430,0.004445,0.032989,0.031771,-0.001033,0.000557,-0.000384,0.000488
Age 0-10 All,0.018749,0.033834,-0.248488,0.287796,0.008264,0.004171,-0.000778,0.004181
Age 0-10 Female,-0.017012,0.044746,-0.426829,0.382732,0.006231,0.005644,-0.003887,0.005483
Age 0-10 Male,0.037937,0.039393,-0.156767,0.334534,0.009302,0.004808,0.000813,0.004894
Age 11-60 All,0.004043,0.003327,0.029519,0.029964,-0.000284,0.000401,0.000722,0.000414
Age 11-60 Female,0.006333,0.004619,0.061604,0.041429,-0.000324,0.000558,0.000984,0.000574
Age 11-60 Male,0.002018,0.004405,0.000908,0.039859,-0.000250,0.000529,0.000494,0.000548
Age 60+All,-0.003031,0.007265,0.013458,0.066195,-0.001585,0.000868,-0.000757,0.000907
Age 60+ Female,-0.012301,0.009736,-0.093499,0.089187,-0.001756,0.001163,-0.001986,0.001215
Age 60+ Male,0.008334,0.010598,0.141919,0.096124,-0.001376,0.001266,0.000761,0.001325
All: LAG 8,-0.000472,0.003085,-0.014678,0.027991,-0.000458,0.000370,-0.000026,0.000384
Female,0.000420,0.004216,0.010681,0.038196,-0.001082,0.000507,0.000152,0.000523
Male,-0.001289,0.004155,-0.037893,0.037733,0.000104,0.000496,-0.000191,0.000518
Warm All,0.003621,0.002823,0.011508,0.034237,-0.000406,0.000330,0.000758,0.000393
Warm Female,-0.001389,0.003878,0.013075,0.046933,-0.001109,0.000455,0.000070,0.000538
Warm Male,0.008137,0.003915,0.010566,0.047644,0.000217,0.000457,0.001386,0.000546
Cold All,-0.006026,0.003395,-0.024488,0.024513,-0.000686,0.000428,-0.000735,0.000375
Cold Female,0.002760,0.004629,0.010170,0.033455,-0.001116,0.000585,0.000165,0.000510
Cold Male,-0.014199,0.004441,-0.056678,0.032010,-0.000290,0.000558,-0.001574,0.000491
Age 0-10 All,-0.006368,0.034320,-0.341513,0.293577,0.008829,0.004195,-0.005712,0.004301
Age 0-10 Female,-0.026038,0.045816,-0.446794,0.396296,0.004003,0.005671,-0.005105,0.005706
Age 0-10 Male,0.005766,0.039745,-0.283600,0.338157,0.011406,0.004825,-0.005912,0.004989
Age 11-60 All,-0.000588,0.003334,-0.014134,0.030165,-0.000552,0.000400,0.000009,0.000415
Age 11-60 Female,0.003027,0.004631,0.018365,0.041812,-0.000726,0.000558,0.000391,0.000574
Age 11-60 Male,-0.003752,0.004418,-0.042798,0.040081,-0.000401,0.000527,-0.000329,0.000551
Age 60+All,0.000434,0.007252,-0.003095,0.067020,-0.000260,0.000868,-0.000022,0.000904
Age 60+ Female,-0.012240,0.009731,-0.017933,0.090290,-0.003017,0.001166,-0.000951,0.001210
Age 60+ Male,0.016021,0.010553,0.015684,0.097185,0.003062,0.001261,0.001152,0.001319
All: LAG 9,-0.003878,0.003095,-0.032704,0.027975,-0.000044,0.000370,-0.000198,0.000385
Female,-0.006397,0.004221,-0.044321,0.038158,-0.000163,0.000506,-0.000292,0.000523
Male,-0.001573,0.004172,-0.022011,0.037644,0.000063,0.000497,-0.000113,0.000520
Warm All,-0.000134,0.002854,0.013106,0.034656,-0.000252,0.000332,0.000156,0.000396
Warm Female,-0.004719,0.003904,0.012899,0.047383,-0.000828,0.000455,-0.000129,0.000540
Warm Male,0.003996,0.003967,0.013402,0.048076,0.000266,0.000461,0.000408,0.000552
Cold All,-0.008398,0.003382,-0.050441,0.024394,0.000182,0.000427,-0.000546,0.000375
Cold Female,-0.008406,0.004610,-0.064988,0.033316,0.000619,0.000584,-0.000452,0.000510
Cold Male,-0.008395,0.004430,-0.037164,0.031846,-0.000220,0.000557,-0.000631,0.000491
Age 0-10 All,-0.016051,0.034495,0.035234,0.291236,-0.006785,0.004197,0.000088,0.004292
