Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Male,0.01976417,0.004872317,0.135097358,0.040835719,0.001927679,0.000591445,0.002189312,0.00060078
Warm All,0.03177961,0.003015331,0.3293943,0.03429873,0.001447368,0.000366168,0.003706432,0.000426869
Warm Female,0.03132776,0.003806521,0.3404885,0.04319421,0.001561776,0.000458197,0.003889091,0.000538254
Warm Male,0.03220216,0.003582513,0.3188533,0.04078744,0.001339654,0.0004349,0.003534712,0.00050606
Cold All,-0.000299202,0.005992321,0.01071294,0.04113522,0.003930096,0.000728187,0.000541914,0.000662066
Cold Female,-0.004337339,0.006680999,-0.03828116,0.04592278,0.005188682,0.000806295,0.000203872,0.000738244
Cold Male,0.003653235,0.005954791,0.05864486,0.04081409,0.002674079,0.000729178,0.000873208,0.000657869
Age 0-10 All,0.03310546,0.006447834,0.147852243,0.052886104,0.002701532,0.000788773,0.003912637,0.000784399
Age 0-10 Female,0.03947786,0.008097131,0.181614785,0.065959343,0.003412527,0.000984013,0.00492362,0.000979648
Age 0-10 Male,0.02879584,0.007073061,0.1254828,0.05822705,0.002202852,0.000868514,0.003219874,0.000863551
Age 11-60 All,0.010599251,0.005326551,0.09495957,0.04491953,0.002213157,0.00063994,0.001181143,0.000659706
Age 11-60 Female,0.008366351,0.00618914,0.05515791,0.05214306,0.003066011,0.000740328,0.001037024,0.000766508
Age 11-60 Male,0.012993872,0.005862662,0.138128709,0.049490125,0.001278822,0.000708045,0.001334491,0.000726145
Age 60+All,0.01489397,0.00582283,0.07115523,0.0489983,0.003109293,0.000699025,0.001837039,0.000720145
Age 60+ Female,0.008333665,0.007334032,0.006853192,0.061440839,0.003224818,0.000878391,0.001128077,0.000906754
Age 60+ Male,0.022150217,0.006948963,0.14316461,0.0587323,0.002987452,0.000838378,0.002625382,0.000859758
All: LAG 4,0.018217039,0.004723876,0.09681005,0.03938055,0.001935451,0.000570825,0.002473058,0.00057771
Female,0.015957758,0.005428104,0.07579178,0.04514853,0.002342286,0.000652095,0.002321359,0.00066416
Male,0.02037943,0.004885542,0.117185976,0.04080513,0.001538105,0.000593816,0.002619068,0.000597352
