Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Female,0.021552,0.020754,0.061882,0.185311,-0.003464,0.002438,0.003246,0.002621
Age 0-10 Male,0.012242,0.018393,0.049721,0.166962,0.000100,0.002201,0.002781,0.002329
Age 11-60 All,-0.008328,0.005265,-0.060997,0.046591,-0.000644,0.000629,-0.000502,0.000664
Age 11-60 Female,-0.006281,0.006845,-0.048847,0.060418,-0.000133,0.000818,-0.000392,0.000862
Age 11-60 Male,-0.010584,0.007186,-0.074847,0.063767,-0.001211,0.000859,-0.000624,0.000906
Age 60+All,0.006875,0.008156,0.015179,0.070102,-0.000441,0.000984,0.000614,0.001023
Age 60+ Female,0.011115,0.008583,0.040954,0.073615,-0.000291,0.001038,0.001302,0.001075
Age 60+ Male,0.000534,0.009178,-0.023945,0.079149,-0.000660,0.001104,-0.000418,0.001154
All: LAG 4,0.004619,0.006022,-0.036266,0.052051,0.000261,0.000726,0.000204,0.000759
Female,0.005747,0.006557,-0.010787,0.056474,0.000664,0.000791,0.000240,0.000827
Male,0.003136,0.006613,-0.070409,0.057434,-0.000275,0.000796,0.000161,0.000833
Warm All,0.016059,0.005012,0.072981,0.057553,0.002385,0.000600,0.002479,0.000701
Warm Female,0.018759,0.005584,0.103235,0.063998,0.002608,0.000669,0.003031,0.000780
Warm Male,0.012463,0.005582,0.032745,0.064237,0.002086,0.000668,0.001747,0.000782
Cold All,-0.012878,0.007322,-0.094972,0.049248,-0.002984,0.000896,-0.001815,0.000814
Cold Female,-0.014100,0.007841,-0.072599,0.052518,-0.002288,0.000962,-0.002263,0.000873
Cold Male,-0.011219,0.007968,-0.125239,0.053889,-0.003911,0.000971,-0.001219,0.000883
Age 0-10 All,0.006888,0.014323,-0.113096,0.129136,0.002383,0.001694,-0.000445,0.001829
Age 0-10 Female,-0.005137,0.020788,-0.267272,0.185650,0.001382,0.002454,-0.001651,0.002658
Age 0-10 Male,0.016552,0.018469,0.014825,0.167844,0.003215,0.002189,0.000518,0.002356
Age 11-60 All,-0.000327,0.005261,-0.041537,0.046349,0.000305,0.000632,-0.000168,0.000661
Age 11-60 Female,0.000722,0.006832,-0.014691,0.060054,0.000632,0.000820,-0.000315,0.000859
Age 11-60 Male,-0.001421,0.007182,-0.071228,0.063439,-0.000061,0.000864,0.000004,0.000901
Age 60+All,0.007371,0.008141,-0.026058,0.069509,0.000116,0.000983,0.000498,0.001028
Age 60+ Female,0.008940,0.008556,0.005852,0.072902,0.000653,0.001035,0.000654,0.001081
Age 60+ Male,0.005054,0.009180,-0.074176,0.078635,-0.000695,0.001106,0.000273,0.001158
All: LAG 5,-0.001180,0.006056,-0.057601,0.052059,0.000963,0.000723,-0.000541,0.000764
Female,-0.001789,0.006592,-0.039749,0.056544,0.000869,0.000787,-0.000598,0.000832
Male,-0.000317,0.006656,-0.081327,0.057385,0.001092,0.000794,-0.000454,0.000838
Warm All,0.008787,0.004966,0.068571,0.056253,0.001930,0.000598,0.001434,0.000694
Warm Female,0.009066,0.005522,0.095513,0.062216,0.001634,0.000666,0.001696,0.000770
Warm Male,0.008501,0.005545,0.032800,0.063250,0.002326,0.000667,0.001101,0.000777
Cold All,-0.017352,0.007518,-0.120281,0.049820,-0.000973,0.000895,-0.002361,0.000829
Cold Female,-0.019453,0.008066,-0.109062,0.053376,-0.000771,0.000960,-0.002789,0.000893
Cold Male,-0.014590,0.008164,-0.135604,0.054208,-0.001239,0.000973,-0.001801,0.000897
Age 0-10 All,0.005095,0.014339,-0.174746,0.128868,0.002016,0.001702,0.000205,0.001816
Age 0-10 Female,-0.023304,0.020811,-0.447444,0.185814,0.000507,0.002448,-0.001964,0.002628
Age 0-10 Male,0.028334,0.018483,0.053821,0.167277,0.003298,0.002212,0.002018,0.002348
Age 11-60 All,-0.002973,0.005278,-0.030638,0.046393,0.000668,0.000631,-0.000454,0.000661
Age 11-60 Female,-0.001662,0.006853,-0.004599,0.060222,0.001246,0.000818,-0.000521,0.000859
Age 11-60 Male,-0.004471,0.007194,-0.059750,0.063273,0.000021,0.000862,-0.000381,0.000901
Age 60+All,-0.000147,0.008208,-0.060625,0.069570,0.001052,0.000980,-0.000560,0.001038
Age 60+ Female,-0.000309,0.008617,-0.033121,0.072996,0.000708,0.001030,-0.000486,0.001091
Age 60+ Male,0.000166,0.009273,-0.102153,0.078685,0.001576,0.001104,-0.000657,0.001171
All: LAG 6,-0.011037,0.006007,-0.079151,0.053174,0.000848,0.000735,-0.001517,0.000755
Female,-0.013496,0.006542,-0.055238,0.057901,0.000480,0.000803,-0.001960,0.000823
Male,-0.007697,0.006600,-0.110569,0.058433,0.001335,0.000804,-0.000918,0.000828
Warm All,-0.003388,0.004959,-0.022477,0.057021,0.000919,0.000609,0.000109,0.000691
Warm Female,-0.006271,0.005521,-0.013630,0.063400,0.000458,0.000682,-0.000345,0.000770
Warm Male,0.000579,0.005531,-0.033588,0.063720,0.001530,0.000675,0.000737,0.000771
Cold All,-0.022386,0.007376,-0.106752,0.051034,0.000272,0.000904,-0.002968,0.000815
Cold Female,-0.023787,0.007917,-0.073252,0.054709,-0.000052,0.000971,-0.003413,0.000876
Cold Male,-0.020511,0.008008,-0.150698,0.055471,0.000694,0.000982,-0.002383,0.000883
Age 0-10 All,0.012421,0.014258,0.007259,0.129839,0.000404,0.001701,0.001596,0.001800
Age 0-10 Female,0.006529,0.020612,0.048079,0.183506,0.000546,0.002460,0.001126,0.002597
Age 0-10 Male,0.017310,0.018466,-0.027271,0.171393,0.000266,0.002201,0.001980,0.002335
Age 11-60 All,-0.012573,0.005240,-0.054564,0.046737,0.000731,0.000635,-0.001762,0.000657
Age 11-60 Female,-0.010461,0.006815,0.011556,0.060779,0.000622,0.000825,-0.001879,0.000854
Age 11-60 Male,-0.014868,0.007146,-0.127531,0.063688,0.000862,0.000867,-0.001629,0.000897
Age 60+All,-0.011344,0.008137,-0.095181,0.071631,0.000959,0.001002,-0.001527,0.001024
Age 60+ Female,-0.015460,0.008552,-0.087789,0.075377,0.000431,0.001057,-0.002089,0.001078
Age 60+ Male,-0.005091,0.009181,-0.105940,0.080676,0.001748,0.001124,-0.000676,0.001151
