Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 All,-0.010122,0.011105,-0.137539,0.098311,0.001187,0.001309,-0.000904,0.001401
Age 0-10 Female,-0.020919,0.016246,-0.172717,0.145396,0.001223,0.001905,-0.000924,0.002052
Age 0-10 Male,-0.001275,0.015031,-0.108939,0.131991,0.001159,0.001781,-0.000849,0.001895
Age 11-60 All,-0.001291,0.003746,-0.048802,0.032626,-0.000042,0.000454,-0.000009,0.000468
Age 11-60 Female,-0.005201,0.004148,-0.078104,0.036312,-0.000005,0.000501,-0.000477,0.00052
Age 11-60 Male,0.007616,0.005183,0.015507,0.044639,-0.000131,0.000635,0.001044,0.000644
Age 60+All,0.002138,0.005077,0.0038,0.042942,-0.000651,0.00063,0.000287,0.000628
Age 60+ Female,0.004182,0.00557,0.021292,0.047429,-0.000648,0.000685,0.000395,0.000691
Age 60+ Male,0.000642,0.006272,-0.008364,0.052774,-0.000651,0.000783,0.000218,0.000774
All: LAG 4,0.002191,0.003733,-0.02923,0.031937,-0.000305,0.000454,0.000471,0.000465
Female,0.002012,0.003836,-0.03279,0.033098,-0.000299,0.000463,0.000617,0.000479
Male,0.002547,0.004811,-0.02357,0.040655,-0.000311,0.00059,0.000282,0.000597
Warm All,0.006508,0.004401,0.025478,0.050228,0.000701,0.00053,0.001233,0.000612
Warm Female,0.004162,0.004584,-0.011733,0.052371,0.000693,0.000548,0.000945,0.000639
Warm Male,0.010006,0.005898,0.079921,0.067179,0.000722,0.000718,0.001664,0.000816
Cold All,-0.003374,0.006396,-0.054654,0.042853,-0.0019,0.000793,-0.000033,0.000704
Cold Female,-0.000251,0.006502,-0.044316,0.044119,-0.001777,0.000802,0.000459,0.000716
Cold Male,-0.007832,0.00802,-0.06789,0.052784,-0.002105,0.001001,-0.000718,0.000881
Age 0-10 All,-0.010105,0.011158,-0.225448,0.09755,0.001378,0.001317,-0.002449,0.001402
Age 0-10 Female,-0.010264,0.016383,-0.250106,0.144946,0.001771,0.001918,-0.000944,0.002052
Age 0-10 Male,-0.009541,0.015058,-0.204826,0.130532,0.001087,0.001788,-0.003578,0.001898
Age 11-60 All,0.003064,0.00376,-0.029873,0.032494,-0.00018,0.000454,0.000547,0.00047
Age 11-60 Female,0.000899,0.004162,-0.042556,0.036102,-0.000351,0.000501,0.000531,0.000521
Age 11-60 Male,0.007948,0.005206,-0.001873,0.044622,0.000217,0.000635,0.000579,0.000648
Age 60+All,0.001931,0.005111,-0.011878,0.042898,-0.000676,0.000629,0.000627,0.000632
Age 60+ Female,0.006324,0.005601,0.010938,0.047508,-0.00034,0.000686,0.001018,0.000694
Age 60+ Male,-0.001312,0.006318,-0.027737,0.052617,-0.000936,0.000781,0.000348,0.000781
