G00-G99,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 3,-0.014748395,0.005337293,-0.09491139,0.04688478,-0.000459465,0.000633125,-0.001330036,0.000671265
Female,-0.01088902,0.00668253,-0.08892118,0.05860247,-0.000160235,0.000794851,-0.001181504,0.000839676
Male,-0.020641916,0.007979161,-0.10424717,0.07023138,-0.000910161,0.000941605,-0.001569913,0.001004368
Warm All,-0.020063227,0.005695819,-0.148378294,0.049740465,-0.000220816,0.000728501,-0.001999899,0.000721153
Warm Female,-0.015683859,0.006875207,-0.13073719,0.05987975,-0.000139946,0.000881078,-0.001861115,0.000868949
Warm Male,-0.027033284,0.008195202,-0.17677531,0.07179112,-0.000355714,0.001041813,-0.002232988,0.001039117
Cold All,-0.005864586,0.006132472,-0.01659143,0.05373032,-0.00063342,0.000646931,-0.000241461,0.000778843
Cold Female,-0.0029057,0.007508725,-0.04375846,0.06572159,-6.6415E-05,0.000791387,-0.000197596,0.00095369
Cold Male,-0.010146209,0.008664007,0.02234895,0.07600564,-0.001458528,0.000915115,-0.000298586,0.001100069
Age 0-10 All,-0.004182877,0.027970293,-0.1856056,0.2497284,5.37613E-05,0.003318696,0.001047095,0.0035438
Age 0-10 Female,-0.006928626,0.038047828,-0.3480021,0.3561298,0.0033266,0.004495743,-0.001475157,0.004887081
Age 0-10 Male,-0.000762106,0.036279849,-0.06577152,0.31243943,-0.002817549,0.004323439,0.003184761,0.004545423
Age 11-60 All,-0.018437743,0.006193175,-0.123193,0.05447487,-0.000671841,0.000733106,-0.0016911,0.000779077
Age 11-60 Female,-0.013993538,0.007870068,-0.10180215,0.06899927,-0.000348284,0.000934581,-0.001285973,0.000988247
Age 11-60 Male,-0.025837449,0.009763585,-0.15921433,0.08627856,-0.001202124,0.001148081,-0.002380746,0.001230861
Age 60+All,-0.007734638,0.009157483,-0.02588206,0.08006082,-4.1613E-05,0.001090726,-0.000774317,0.001149948
Age 60+ Female,-0.003784868,0.012046852,-0.04156171,0.10523492,2.84448E-05,0.001439236,-0.000910341,0.001513808
Age 60+ Male,-0.01320538,0.01360792,-0.005547861,0.119094496,-0.000142686,0.0016141,-0.000610752,0.001707264
All: LAG 4,-0.006313607,0.005364741,-0.02625646,0.04686251,0.000289366,0.000634594,-0.000772703,0.00067462
Female,0.003377251,0.006703648,-0.01207814,0.0582782,0.000654506,0.000796503,0.000340203,0.000840636
Male,-0.020986416,0.00802883,-0.04840734,0.0706796,-0.000250332,0.000943782,-0.002477411,0.001014072
Warm All,-0.009375665,0.005722887,-0.10219036,0.04965251,0.000509985,0.00073243,-0.001002052,0.000721552
Warm Female,-0.000445331,0.006901594,-0.11506317,0.0595274,0.001644707,0.000885158,-0.000121106,0.000868744
Warm Male,-0.02331663,0.008225832,-0.08148356,0.0720659,-0.001228189,0.00104803,-0.002384402,0.001039703
Cold All,-0.00262965,0.006165873,0.08688953,0.05386582,-9.05929E-05,0.000646684,-0.000779721,0.000786216
Cold Female,0.008225952,0.007535439,0.15669588,0.0656062,-0.000646134,0.000791905,0.00075605,0.000956598
Cold Male,-0.018219599,0.008748882,-0.01447277,0.07683703,0.000703599,0.000915188,-0.003026661,0.00112281
Age 0-10 All,-0.03737445,0.02820679,-0.3789725,0.2493578,-0.001035895,0.003270075,-0.004236594,0.00361049
Age 0-10 Female,-0.04734955,0.03836051,-0.65277682,0.35248154,-0.004083058,0.004406898,-0.007853235,0.004963918
Age 0-10 Male,-0.02878073,0.03662233,-0.1806168,0.3141638,0.001757519,0.004278174,-0.001244658,0.004647566
Age 11-60 All,-0.005847076,0.006227399,-0.02654551,0.05453652,0.000348155,0.000735712,-0.000434727,0.000781667
Age 11-60 Female,-0.000378585,0.007900578,-0.05098368,0.06875392,0.000930129,0.000937279,0.000368939,0.000988424
Age 11-60 Male,-0.014850639,0.009816563,0.0146066,0.0868804,-0.000586393,0.001151781,-0.001774522,0.001238628
Age 60+All,-0.004285768,0.009196294,0.008451861,0.079793349,0.000288573,0.001092643,-0.001193001,0.001159175
Age 60+ Female,0.01624073,0.01204941,0.1232163,0.1041201,0.000387124,0.001440864,0.000897696,0.001516008
Age 60+ Male,-0.03202216,0.01372393,-0.1491703,0.1198244,0.000161121,0.001617613,-0.004025521,0.001735548
All: LAG 5,-0.001396484,0.005361557,0.01701546,0.04688081,0.000770023,0.000633712,-3.60288E-05,0.000671337
Female,0.000862408,0.006701565,-0.009897192,0.058451922,0.001050139,0.000794095,0.00042029,0.000837789
Male,-0.004837608,0.008021546,0.05795791,0.07040188,0.000351925,0.000944684,-0.000736526,0.001006805
Warm All,-0.009838285,0.005730042,-0.02758938,0.04975688,0.000841017,0.000727642,-0.000923549,0.000720746
Warm Female,-0.009024147,0.006915452,-0.06248339,0.05990845,0.001693909,0.000878933,-0.000781998,0.000869933
Warm Male,-0.011144736,0.008220919,0.02717415,0.07156984,-0.00048191,0.001041023,-0.001148054,0.001033451
Cold All,0.01057576,0.006138815,0.07543339,0.05384455,0.000654091,0.000650176,0.001041065,0.00077808
Cold Female,0.015288621,0.007492357,0.06136835,0.06550227,0.000214231,0.000794244,0.002010046,0.000946062
Cold Male,0.003850764,0.008721167,0.09641869,0.07688138,0.001282504,0.000922538,-0.000364787,0.001111008
Age 0-10 All,0.02673523,0.0282636,0.2217755,0.2483354,0.002060312,0.003265841,0.000670673,0.003549465
Age 0-10 Female,0.02398027,0.03840309,-0.1902274,0.349628,0.006256467,0.004419374,-0.001948705,0.004840832
Age 0-10 Male,0.0299071,0.03670903,0.53204808,0.31390985,-0.001392867,0.004253218,0.002969689,0.004595799
Age 11-60 All,-0.007275282,0.00621949,-0.05929215,0.05460676,0.001368707,0.000733624,-0.000341321,0.000778575
Age 11-60 Female,-0.008941827,0.007894761,-0.10482853,0.06907172,0.00171422,0.000934778,-0.000416757,0.000986801
Age 11-60 Male,-0.004559336,0.009806102,0.01647361,0.08658855,0.000818943,0.001150009,-0.000227297,0.00123047
Age 60+All,0.008749159,0.009188167,0.15868255,0.07958999,-0.000658017,0.001093051,0.00056307,0.001151164
Age 60+ Female,0.02236013,0.01206565,0.22026586,0.10414133,-0.000930781,0.001435552,0.002606778,0.001508728
Age 60+ Male,-0.009393454,0.013654025,0.07449214,0.11892595,-0.000254499,0.00162458,-0.002170445,0.001715041
All: LAG 6,0.006438609,0.005328404,0.05125013,0.04739252,0.000815433,0.000636557,0.001122389,0.000664342
Female,0.006410381,0.006673537,0.05986177,0.05917911,1.6205E-05,0.000800371,0.001327813,0.00083076
Male,0.006496515,0.007952996,0.03832319,0.07105432,0.001990916,0.000944231,0.000816827,0.000994091
Warm All,-0.001576345,0.005703014,0.0374223,0.05068229,0.000816754,0.00072868,0.000292449,0.00071406
Warm Female,-0.001416303,0.006885985,0.05008642,0.06114866,0.000664205,0.000881775,0.000690616,0.000860851
Warm Male,-0.001783513,0.008181984,0.01811552,0.07278617,0.001044324,0.001041658,-0.000322611,0.001026645
Cold All,0.017946931,0.006090225,0.06150671,0.05372229,0.000723226,0.000654683,0.002236867,0.000769661
Cold Female,0.016222272,0.007463907,0.06299673,0.06541143,-0.000863307,0.000803882,0.001961957,0.000942288
Cold Male,0.020453137,0.008604224,0.05914593,0.07657778,0.002955142,0.000920453,0.002631189,0.001089136
Age 0-10 All,-0.003777552,0.027755273,-8.30537E-05,0.2517019,0.000511245,0.003232405,-0.001670394,0.003493069
Age 0-10 Female,-0.04517809,0.03767863,-0.2598724,0.3454401,-0.004947526,0.00439124,-0.009399598,0.004781462
Age 0-10 Male,0.0318904,0.03614733,0.2066688,0.3250933,0.00527623,0.004209534,0.005002789,0.004529304
Age 11-60 All,0.003843775,0.006190426,0.02041362,0.05514417,0.000565158,0.000737708,0.001314031,0.000772045
Age 11-60 Female,0.003635406,0.007868477,0.02062489,0.06980681,0.000604648,0.000941177,0.001493579,0.000979445
Age 11-60 Male,0.004162791,0.009729029,0.01985508,0.08724189,0.000504333,0.001152385,0.001015828,0.001217902
Age 60+All,0.013354096,0.009133431,0.12330176,0.08081358,0.001386764,0.001099776,0.001009184,0.001136882
Age 60+ Female,0.01717653,0.01200888,0.17489801,0.10614101,-0.000974811,0.001452333,0.00179019,0.001493367
Age 60+ Male,0.008122567,0.013572032,0.05285995,0.12028848,0.004491775,0.001623698,-3.74239E-05,0.001691153
All: LAG 7,0.011738573,0.005303438,0.08738581,0.04744726,0.000463119,0.000636976,0.002020837,0.000660277
Female,0.010795442,0.006635989,0.08821866,0.05926741,0.000363811,0.000799041,0.001753271,0.000826545
Male,0.01315312,0.007923,0.08611857,0.07104066,0.000608607,0.000947259,0.002425219,0.000986561
Warm All,0.001823579,0.005667051,0.09279918,0.05078925,-0.000159599,0.000729296,0.0011148,0.000707153
Warm Female,0.002982914,0.006834197,0.12604449,0.06111829,-0.000338792,0.000881774,0.001246278,0.00085228
Warm Male,4.76976E-05,0.00814912,0.04054416,0.07328489,0.000120697,0.001044699,0.000914223,0.001017763
Cold All,0.02771579,0.006060763,0.05748636,0.0536315,0.001145607,0.000653959,0.003391933,0.000767364
Cold Female,0.023587626,0.007437911,0.005868367,0.065643938,0.001126585,0.000800605,0.002454496,0.000943064
Cold Male,0.03341453,0.008557235,0.13060619,0.07579413,0.001163807,0.000924346,0.004687137,0.001081069
Age 0-10 All,0.004859749,0.027786243,0.155258,0.2459068,-0.000596467,0.003253584,0.001621866,0.00347913
Age 0-10 Female,-0.06321951,0.03801516,-0.4630008,0.3506841,-0.001958666,0.004417683,-0.007802617,0.004807028
Age 0-10 Male,0.06221167,0.03596084,0.61176713,0.30849583,0.000634114,0.004231305,0.009504722,0.004478536
Age 11-60 All,0.013600577,0.006161315,0.11994419,0.05505551,0.000313225,0.000738232,0.002442397,0.000767185
Age 11-60 Female,0.015827438,0.007828514,0.15834959,0.06961719,0.000345439,0.000940927,0.002577551,0.000974276
Age 11-60 Male,0.009987755,0.009697314,0.05629311,0.08731834,0.000255833,0.001155132,0.002220417,0.001209852
Age 60+All,0.008629615,0.009076063,0.01121008,0.0814438,0.000904762,0.001097861,0.001186154,0.001129932
Age 60+ Female,0.004862436,0.011900788,-0.03758528,0.10705922,0.000603607,0.001443023,0.000572546,0.001484155
Age 60+ Male,0.01371244,0.01352501,0.07641132,0.12094303,0.00132637,0.001630834,0.002013432,0.001680192
All: LAG 8,0.007513375,0.005314088,0.08818355,0.04785298,-6.02119E-05,0.000636888,0.001172254,0.000661176
Female,0.009115617,0.006655245,0.03861602,0.059859,0.000211674,0.000799991,0.001144155,0.000828061
Male,0.005070073,0.007909929,0.16223793,0.07136247,-0.000455147,0.000943441,0.001206374,0.000984426
Warm All,0.002899446,0.005677724,0.11827081,0.05120652,-0.001315983,0.000731202,0.000761621,0.000704027
Warm Female,0.008937073,0.006857768,0.11032029,0.06164651,-0.000999035,0.000887181,0.001208324,0.000849523
Warm Male,-0.006376234,0.00811813,0.13063307,0.07365821,-0.001788455,0.001039466,7.48395E-05,0.001008437
Cold All,0.015936216,0.006036422,0.01632384,0.05390614,0.001341033,0.000649723,0.001758277,0.000768262
Cold Female,0.010348634,0.007407529,-0.1078385,0.06616495,0.001579243,0.000795429,0.00085586,0.000943937
Cold Male,0.023680317,0.008533389,0.18914785,0.07601157,0.00100922,0.000921138,0.00301511,0.001083673
Age 0-10 All,-0.02331466,0.02780428,-0.154478,0.2517285,0.001215365,0.003213935,0.000589011,0.003533745
Age 0-10 Female,-0.07279121,0.03795221,-0.61877561,0.35591815,0.00295991,0.004294834,-0.004853543,0.00484841
Age 0-10 Male,0.01928072,0.0360754,0.1833461,0.3170157,-0.000169217,0.004244786,0.00504289,0.004569238
