Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Male,0.001505,0.004985,0.036411,0.080200,0.000533,0.001170,0.000133,0.001177
Age 11-60 All,0.006456,0.002186,0.014216,0.033835,-0.000009,0.000458,0.000790,0.000478
Age 11-60 Female,0.006591,0.002927,-0.002381,0.040069,-0.000102,0.000541,0.000689,0.000565
Age 11-60 Male,0.006324,0.002463,0.031909,0.039156,0.000090,0.000532,0.000898,0.000554
Age 60+All,0.007569,0.003427,0.011109,0.042190,-0.000745,0.000568,0.000913,0.000594
Age 60+ Female,0.004409,0.004085,-0.029707,0.048496,-0.000758,0.000655,0.000440,0.000684
Age 60+ Male,0.011254,0.004731,0.059443,0.051328,-0.000726,0.000689,0.001464,0.000720
All: LAG 4,0.005338,0.002053,-0.003413,0.031480,-0.000479,0.000431,0.000580,0.000451
Female,0.003915,0.002565,-0.033170,0.035505,-0.000481,0.000485,0.000523,0.000507
Male,0.006880,0.002285,0.028415,0.034794,-0.000476,0.000477,0.000643,0.000499
Warm All,0.008298,0.002420,0.028777,0.036199,0.000548,0.000359,0.001171,0.000421
Warm Female,0.006604,0.002904,0.012771,0.041699,0.000499,0.000413,0.001060,0.000484
Warm Male,0.010134,0.002833,0.046127,0.041289,0.000602,0.000411,0.001293,0.000481
Cold All,0.001411,0.003557,-0.015780,0.029260,-0.002059,0.000523,0.000163,0.000477
Cold Female,0.000389,0.004546,-0.051778,0.032498,-0.002014,0.000580,0.000174,0.000529
Cold Male,0.002515,0.003818,0.022630,0.031656,-0.002106,0.000566,0.000152,0.000517
Age 0-10 All,0.017964,0.004101,0.121628,0.061114,0.000463,0.000899,0.001846,0.000909
Age 0-10 Female,0.036428,0.005694,0.196511,0.088714,0.000341,0.001307,0.004731,0.001304
Age 0-10 Male,0.003578,0.005016,0.063417,0.079672,0.000567,0.001169,-0.000436,0.001195
Age 11-60 All,0.005994,0.002205,-0.009032,0.033599,-0.000108,0.000459,0.000493,0.000481
Age 11-60 Female,0.004590,0.002946,-0.019729,0.039775,-0.000260,0.000542,0.000356,0.000569
Age 11-60 Male,0.007504,0.002479,0.002320,0.038908,0.000055,0.000533,0.000639,0.000557
Age 60+All,0.001738,0.003436,-0.021585,0.042031,-0.001271,0.000569,0.000469,0.000598
Age 60+ Female,-0.002420,0.004087,-0.095803,0.048412,-0.000960,0.000655,0.000095,0.000689
Age 60+ Male,0.006592,0.004748,0.064910,0.050998,-0.001629,0.000691,0.000907,0.000728
All: LAG 5,-0.002569,0.002067,-0.027494,0.031372,-0.000192,0.000430,-0.000329,0.000452
Female,-0.002014,0.002577,-0.039784,0.035362,-0.000224,0.000484,-0.000307,0.000509
Male,-0.003148,0.002300,-0.014215,0.034726,-0.000158,0.000476,-0.000350,0.000500
