OrdO,Health,Lag,AP,BETA,SEBETA,PVALUE,Sign,SignP,,,,,,,,,,,,,,,,
2133,MenM61,2,EAQHI,0.01003854,0.01058414,0.34296935,0,0,,,,,,,,,,,,,,,,
94,MenA,3,EAQHI,0.005089967,0.003071511,0.097583504,0,0,,,,,,,,,,,,,,,,
214,MenF,3,EAQHI,0.003622194,0.004208836,0.389511845,0,0,,,,,,,,,,,,,,,,
334,MenM,3,EAQHI,0.006476203,0.004137193,0.117594179,0,0,,,,,,,,,,,,,,,,
454,MenAW,3,EAQHI,0.007919449,0.002801825,0.004733855,1,1,,,,,,,,,,,,,,,,
574,MenFW,3,EAQHI,0.007016782,0.003862037,0.06932927,0,0,,,,,,,,,,,,,,,,
694,MenMW,3,EAQHI,0.008780074,0.003880407,0.023720977,1,1,,,,,,,,,,,,,,,,
814,MenAC,3,EAQHI,0.00010743,0.003432131,0.975031118,0,0,,,,,,,,,,,,,,,,
934,MenFC,3,EAQHI,-0.000827658,0.004686153,0.859819441,0,0,,,,,,,,,,,,,,,,
1054,MenMC,3,EAQHI,0.001033848,0.004492473,0.818005875,0,0,,,,,,,,,,,,,,,,
1174,MenMF10,3,EAQHI,0.005394862,0.034312416,0.875075026,0,0,,,,,,,,,,,,,,,,
1294,MenF10,3,EAQHI,0.004945075,0.046075443,0.91453721,0,0,,,,,,,,,,,,,,,,
1414,MenM10,3,EAQHI,0.006510971,0.039566471,0.869302161,0,0,,,,,,,,,,,,,,,,
1534,MenMF60,3,EAQHI,0.007641841,0.003314408,0.021192427,1,1,,,,,,,,,,,,,,,,
1654,MenF60,3,EAQHI,0.007356762,0.004617397,0.111195452,0,0,,,,,,,,,,,,,,,,
1774,MenM60,3,EAQHI,0.007928663,0.004396869,0.071439955,0,0,,,,,,,,,,,,,,,,
1894,MenMF61,3,EAQHI,-0.010437289,0.007268067,0.151083751,0,0,,,,,,,,,,,,,,,,
2014,MenF61,3,EAQHI,-0.015624074,0.009756299,0.109376563,0,0,,,,,,,,,,,,,,,,
2134,MenM61,3,EAQHI,-0.004058189,0.010596558,0.70176492,0,0,,,,,,,,,,,,,,,,
95,MenA,4,EAQHI,0.004047855,0.003088547,0.190083783,0,0,,,,,,,,,,,,,,,,
215,MenF,4,EAQHI,0.001726463,0.004228895,0.683113814,0,0,,,,,,,,,,,,,,,,
335,MenM,4,EAQHI,0.006166671,0.004156759,0.138029629,0,0,,,,,,,,,,,,,,,,
455,MenAW,4,EAQHI,0.007156586,0.002816989,0.011114656,1,1,,,,,,,,,,,,,,,,
575,MenFW,4,EAQHI,0.008424106,0.003864374,0.029332443,1,1,,,,,,,,,,,,,,,,
695,MenMW,4,EAQHI,0.005955842,0.003908938,0.127692936,0,0,,,,,,,,,,,,,,,,
815,MenAC,4,EAQHI,-0.00023834,0.003441016,0.944783449,0,0,,,,,,,,,,,,,,,,
935,MenFC,4,EAQHI,-0.007239276,0.004704123,0.123919492,0,0,,,,,,,,,,,,,,,,
1055,MenMC,4,EAQHI,0.006291818,0.004499052,0.162064224,0,0,,,,,,,,,,,,,,,,
1175,MenMF10,4,EAQHI,0.02471591,0.03440045,0.47251454,0,0,,,,,,,,,,,,,,,,
1295,MenF10,4,EAQHI,-0.01528078,0.04645674,0.74223341,0,0,,,,,,,,,,,,,,,,
1415,MenM10,4,EAQHI,0.04612577,0.0396158,0.24437564,0,0,,,,,,,,,,,,,,,,
1535,MenMF60,4,EAQHI,0.006135882,0.00333312,0.065728677,0,0,,,,,,,,,,,,,,,,
1655,MenF60,4,EAQHI,0.004800414,0.004641466,0.301097472,0,0,,,,,,,,,,,,,,,,
1775,MenM60,4,EAQHI,0.007312704,0.00441659,0.097870683,0,0,,,,,,,,,,,,,,,,
1895,MenMF61,4,EAQHI,-0.009510128,0.00729691,0.192560438,0,0,,,,,,,,,,,,,,,,
2015,MenF61,4,EAQHI,-0.013731033,0.009802082,0.16135965,0,0,,,,,,,,,,,,,,,,
2135,MenM61,4,EAQHI,-0.004429296,0.010637067,0.677143011,0,0,,,,,,,,,,,,,,,,
96,MenA,5,EAQHI,0.003007399,0.003089851,0.330468087,0,0,,,,,,,,,,,,,,,,
216,MenF,5,EAQHI,0.003417757,0.004223083,0.418398949,0,0,,,,,,,,,,,,,,,,
336,MenM,5,EAQHI,0.002616745,0.004160489,0.529424603,0,0,,,,,,,,,,,,,,,,
456,MenAW,5,EAQHI,0.004941636,0.002807616,0.078486678,0,0,,,,,,,,,,,,,,,,
576,MenFW,5,EAQHI,0.009761256,0.003841672,0.011102681,1,1,,,,,,,,,,,,,,,,
696,MenMW,5,EAQHI,0.000528326,0.003908228,0.89247553,0,0,,,,,,,,,,,,,,,,
816,MenAC,5,EAQHI,-0.000450176,0.003444852,0.896035913,0,0,,,,,,,,,,,,,,,,
936,MenFC,5,EAQHI,-0.006229389,0.004710467,0.186107953,0,0,,,,,,,,,,,,,,,,
1056,MenMC,5,EAQHI,0.004867703,0.004500812,0.279546637,0,0,,,,,,,,,,,,,,,,
1176,MenMF10,5,EAQHI,0.01804765,0.03440203,0.59988968,0,0,,,,,,,,,,,,,,,,
1296,MenF10,5,EAQHI,0.071932,0.04630334,0.12040106,0,0,,,,,,,,,,,,,,,,
1416,MenM10,5,EAQHI,-0.0131259,0.0397111,0.741017,0,0,,,,,,,,,,,,,,,,
1536,MenMF60,5,EAQHI,0.003609612,0.00333327,0.278930275,0,0,,,,,,,,,,,,,,,,
1656,MenF60,5,EAQHI,0.004598994,0.004632387,0.32088459,0,0,,,,,,,,,,,,,,,,
1776,MenM60,5,EAQHI,0.002733336,0.004418605,0.53622462,0,0,,,,,,,,,,,,,,,,
1896,MenMF61,5,EAQHI,-0.001248381,0.007310583,0.864420191,0,0,,,,,,,,,,,,,,,,
2016,MenF61,5,EAQHI,-0.004407876,0.009799351,0.652874869,0,0,,,,,,,,,,,,,,,,
2136,MenM61,5,EAQHI,0.002605945,0.010655038,0.806801538,0,0,,,,,,,,,,,,,,,,
97,MenA,6,EAQHI,0.001083135,0.003082089,0.725289169,0,0,,,,,,,,,,,,,,,,
217,MenF,6,EAQHI,0.003569995,0.004206653,0.396135305,0,0,,,,,,,,,,,,,,,,
337,MenM,6,EAQHI,-0.001200376,0.004152457,0.772541272,0,0,,,,,,,,,,,,,,,,
457,MenAW,6,EAQHI,0.003983128,0.002807075,0.156005285,0,0,,,,,,,,,,,,,,,,
577,MenFW,6,EAQHI,0.008002705,0.003834745,0.036974476,1,1,,,,,,,,,,,,,,,,
697,MenMW,6,EAQHI,0.000324383,0.003911165,0.933906045,0,0,,,,,,,,,,,,,,,,
817,MenAC,6,EAQHI,-0.004074372,0.003419601,0.233552709,0,0,,,,,,,,,,,,,,,,
937,MenFC,6,EAQHI,-0.002991004,0.004662696,0.521258644,0,0,,,,,,,,,,,,,,,,
