OrdO,Health,Lag,AP,BETA,SEBETA,PVALUE,Sign,SignP,,,,,,,,,,,,,,,,
1904,MenMF61,13,EAQHI,-0.009985354,0.00734926,0.174338617,0,0,,,,,,,,,,,,,,,,
2024,MenF61,13,EAQHI,-0.010475534,0.009837996,0.287043059,0,0,,,,,,,,,,,,,,,,
2144,MenM61,13,EAQHI,-0.009303284,0.010741909,0.386513036,0,0,,,,,,,,,,,,,,,,
105,MenA,14,EAQHI,-0.003389246,0.003110203,0.275917068,0,0,,,,,,,,,,,,,,,,
225,MenF,14,EAQHI,-0.006126134,0.004247984,0.149361804,0,0,,,,,,,,,,,,,,,,
345,MenM,14,EAQHI,-0.000876197,0.004188867,0.834326391,0,0,,,,,,,,,,,,,,,,
465,MenAW,14,EAQHI,0.001896626,0.002879796,0.510200582,0,0,,,,,,,,,,,,,,,,
585,MenFW,14,EAQHI,-0.004942623,0.003930467,0.208656457,0,0,,,,,,,,,,,,,,,,
705,MenMW,14,EAQHI,0.008081594,0.004004695,0.043669331,1,1,,,,,,,,,,,,,,,,
825,MenAC,14,EAQHI,-0.008374445,0.003388524,0.01350837,-1,0,,,,,,,,,,,,,,,,
945,MenFC,14,EAQHI,-0.004863656,0.004626036,0.293168043,0,0,,,,,,,,,,,,,,,,
1065,MenMC,14,EAQHI,-0.011656132,0.004437428,0.008659842,-1,0,,,,,,,,,,,,,,,,
1185,MenMF10,14,EAQHI,-0.05973786,0.03468585,0.08511762,0,0,,,,,,,,,,,,,,,,
1305,MenF10,14,EAQHI,-0.0828408,0.04573206,0.07016439,0,0,,,,,,,,,,,,,,,,
1425,MenM10,14,EAQHI,-0.04607217,0.04044998,0.25478988,0,0,,,,,,,,,,,,,,,,
1545,MenMF60,14,EAQHI,-0.003023893,0.00335762,0.367863945,0,0,,,,,,,,,,,,,,,,
1665,MenF60,14,EAQHI,-0.005295025,0.004665722,0.256509309,0,0,,,,,,,,,,,,,,,,
1785,MenM60,14,EAQHI,-0.00101985,0.004449119,0.818708273,0,0,,,,,,,,,,,,,,,,
1905,MenMF61,14,EAQHI,-0.003214222,0.00733546,0.661287589,0,0,,,,,,,,,,,,,,,,
2025,MenF61,14,EAQHI,-0.008107104,0.009809487,0.408605784,0,0,,,,,,,,,,,,,,,,
2145,MenM61,14,EAQHI,0.002757776,0.010727844,0.797143085,0,0,,,,,,,,,,,,,,,,
106,MenA,0,EAQHIX,0.00147935,0.002076522,0.476256896,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
226,MenF,0,EAQHIX,0.000793046,0.002865033,0.781949765,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,MenM,0,EAQHIX,0.002110425,0.00280154,0.451318229,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
466,MenAW,0,EAQHIX,0.003165133,0.001910743,0.097717041,0,0,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
586,MenFW,0,EAQHIX,0.003282093,0.00263279,0.212624824,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
706,MenMW,0,EAQHIX,0.003069394,0.002643211,0.245629709,0,0,,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
826,MenAC,0,EAQHIX,0.00013604,0.002301526,0.952869134,0,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1
946,MenFC,0,EAQHIX,-0.001671262,0.003180034,0.599237261,0,0,,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
1066,MenMC,0,EAQHIX,0.001817867,0.003030937,0.548700193,0,0,,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1
1186,MenMF10,0,EAQHIX,0.01974487,0.02326056,0.39602306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
1306,MenF10,0,EAQHIX,0.02198821,0.03067465,0.4735359,0,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
1426,MenM10,0,EAQHIX,0.01875287,0.0271294,0.48946463,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,MenMF60,0,EAQHIX,0.000721263,0.002248051,0.748352409,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1666,MenF60,0,EAQHIX,0.000456142,0.003152418,0.884959941,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1786,MenM60,0,EAQHIX,0.000961706,0.002983068,0.74717897,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1906,MenMF61,0,EAQHIX,0.005281481,0.004929345,0.284051614,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MenF61,0,EAQHIX,0.001941975,0.006623189,0.769381286,0,0,,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
2146,MenM61,0,EAQHIX,0.009392212,0.007200172,0.192173667,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,MenA,1,EAQHIX,0.005220691,0.002074553,0.011898535,1,1,,,,,,,,,,,,,,,,
227,MenF,1,EAQHIX,0.003664659,0.002858662,0.199950614,0,0,,,,,,,,,,,,,,,,
347,MenM,1,EAQHIX,0.00664494,0.002801862,0.017767609,1,1,,,,,,,,,,,,,,,,
467,MenAW,1,EAQHIX,0.007273259,0.001901685,0.000133389,1,1,,,,,,,,,,,,,,,,
587,MenFW,1,EAQHIX,0.007062842,0.002621234,0.007085754,1,1,,,,,,,,,,,,,,,,
707,MenMW,1,EAQHIX,0.007472078,0.002642822,0.004722384,1,1,,,,,,,,,,,,,,,,
827,MenAC,1,EAQHIX,0.002741657,0.002308969,0.235157534,0,0,,,,,,,,,,,,,,,,
947,MenFC,1,EAQHIX,-0.000498153,0.003179866,0.875523567,0,0,,,,,,,,,,,,,,,,
1067,MenMC,1,EAQHIX,0.005721253,0.00303701,0.059674008,0,0,,,,,,,,,,,,,,,,
1187,MenMF10,1,EAQHIX,0.02058375,0.02335336,0.3781633,0,0,,,,,,,,,,,,,,,,
1307,MenF10,1,EAQHIX,0.05445164,0.03114633,0.08051347,0,0,,,,,,,,,,,,,,,,
1427,MenM10,1,EAQHIX,0.001810975,0.027112438,0.94674895,0,0,,,,,,,,,,,,,,,,
1547,MenMF60,1,EAQHIX,0.004910649,0.002248931,0.029065731,1,1,,,,,,,,,,,,,,,,
1667,MenF60,1,EAQHIX,0.004329538,0.003147689,0.169080585,0,0,,,,,,,,,,,,,,,,
1787,MenM60,1,EAQHIX,0.005425293,0.002985962,0.069318149,0,0,,,,,,,,,,,,,,,,
1907,MenMF61,1,EAQHIX,0.006371717,0.00490568,0.194088037,0,0,,,,,,,,,,,,,,,,
2027,MenF61,1,EAQHIX,-0.001049582,0.006598031,0.873619482,0,0,,,,,,,,,,,,,,,,
2147,MenM61,1,EAQHIX,0.015413926,0.007159168,0.031388394,1,1,,,,,,,,,,,,,,,,
108,MenA,2,EAQHIX,0.004347785,0.002089372,0.037519613,1,1,,,,,,,,,,,,,,,,
228,MenF,2,EAQHIX,0.004782427,0.002874973,0.096313726,0,0,,,,,,,,,,,,,,,,
348,MenM,2,EAQHIX,0.003962456,0.002809539,0.158528369,0,0,,,,,,,,,,,,,,,,
468,MenAW,2,EAQHIX,0.00649708,0.001895937,0.000618117,1,1,,,,,,,,,,,,,,,,
588,MenFW,2,EAQHIX,0.006862906,0.002622284,0.008907291,1,1,,,,,,,,,,,,,,,,
708,MenMW,2,EAQHIX,0.006166207,0.002625482,0.018902886,1,1,,,,,,,,,,,,,,,,
828,MenAC,2,EAQHIX,0.001215918,0.002351767,0.605174786,0,0,,,,,,,,,,,,,,,,
948,MenFC,2,EAQHIX,0.001163367,0.003220582,0.717951626,0,0,,,,,,,,,,,,,,,,
1068,MenMC,2,EAQHIX,0.001271497,0.003080229,0.679785038,0,0,,,,,,,,,,,,,,,,
1188,MenMF10,2,EAQHIX,-0.01092451,0.0236632,0.6443509,0,0,,,,,,,,,,,,,,,,
1308,MenF10,2,EAQHIX,0.01959685,0.03167534,0.53617098,0,0,,,,,,,,,,,,,,,,
1428,MenM10,2,EAQHIX,-0.02665362,0.02741071,0.33093311,0,0,,,,,,,,,,,,,,,,
1548,MenMF60,2,EAQHIX,0.003808377,0.002259874,0.092041513,0,0,,,,,,,,,,,,,,,,
1668,MenF60,2,EAQHIX,0.004022489,0.003161374,0.203325634,0,0,,,,,,,,,,,,,,,,
1788,MenM60,2,EAQHIX,0.003633589,0.002989442,0.22427244,0,0,,,,,,,,,,,,,,,,
1908,MenMF61,2,EAQHIX,0.008158699,0.004935473,0.098411145,0,0,,,,,,,,,,,,,,,,
2028,MenF61,2,EAQHIX,0.008248313,0.006617773,0.212710601,0,0,,,,,,,,,,,,,,,,
2148,MenM61,2,EAQHIX,0.008117211,0.007215162,0.260661912,0,0,,,,,,,,,,,,,,,,
109,MenA,3,EAQHIX,0.002960845,0.00209647,0.157955916,0,0,,,,,,,,,,,,,,,,
229,MenF,3,EAQHIX,0.001249157,0.002875549,0.664021786,0,0,,,,,,,,,,,,,,,,
349,MenM,3,EAQHIX,0.004553249,0.002820892,0.106597908,0,0,,,,,,,,,,,,,,,,
469,MenAW,3,EAQHIX,0.004853102,0.00190798,0.011017584,1,1,,,,,,,,,,,,,,,,
589,MenFW,3,EAQHIX,0.002419142,0.002632867,0.358254812,0,0,,,,,,,,,,,,,,,,
709,MenMW,3,EAQHIX,0.007076758,0.002638859,0.007360368,1,1,,,,,,,,,,,,,,,,
829,MenAC,3,EAQHIX,-3.43083E-05,0.002357734,0.988390962,0,0,,,,,,,,,,,,,,,,
949,MenFC,3,EAQHIX,-0.000272317,0.003222772,0.932665711,0,0,,,,,,,,,,,,,,,,
1069,MenMC,3,EAQHIX,0.000221205,0.003082946,0.942804312,0,0,,,,,,,,,,,,,,,,
1189,MenMF10,3,EAQHIX,-0.000793443,0.023693067,0.973287136,0,0,,,,,,,,,,,,,,,,
1309,MenF10,3,EAQHIX,0.01024961,0.031581,0.74554233,0,0,,,,,,,,,,,,,,,,
1429,MenM10,3,EAQHIX,-0.006290171,0.027440584,0.818705352,0,0,,,,,,,,,,,,,,,,
1549,MenMF60,3,EAQHIX,0.004585295,0.002262938,0.042818809,1,1,,,,,,,,,,,,,,,,
1669,MenF60,3,EAQHIX,0.003971171,0.003156952,0.208512301,0,0,,,,,,,,,,,,,,,,
1789,MenM60,3,EAQHIX,0.005146171,0.002997757,0.086132785,0,0,,,,,,,,,,,,,,,,
1909,MenMF61,3,EAQHIX,-0.006776155,0.004950406,0.171152613,0,0,,,,,,,,,,,,,,,,
2029,MenF61,3,EAQHIX,-0.012957617,0.006639347,0.05106556,0,0,,,,,,,,,,,,,,,,
2149,MenM61,3,EAQHIX,0.000876667,0.007223977,0.903417105,0,0,,,,,,,,,,,,,,,,
110,MenA,4,EAQHIX,0.002603431,0.002107876,0.216882665,0,0,,,,,,,,,,,,,,,,
230,MenF,4,EAQHIX,-0.000106855,0.002887995,0.970487541,0,0,,,,,,,,,,,,,,,,
350,MenM,4,EAQHIX,0.005075422,0.002834713,0.073472823,0,0,,,,,,,,,,,,,,,,
470,MenAW,4,EAQHIX,0.005154602,0.001912828,0.007079808,1,1,,,,,,,,,,,,,,,,
590,MenFW,4,EAQHIX,0.004052927,0.002628735,0.123223541,0,0,,,,,,,,,,,,,,,,
710,MenMW,4,EAQHIX,0.006112833,0.002650347,0.021148555,1,1,,,,,,,,,,,,,,,,
830,MenAC,4,EAQHIX,-0.000568618,0.002373493,0.810678563,0,0,,,,,,,,,,,,,,,,
950,MenFC,4,EAQHIX,-0.005528084,0.003242799,0.088339862,0,0,,,,,,,,,,,,,,,,
1070,MenMC,4,EAQHIX,0.00405471,0.00310511,0.1917055,0,0,,,,,,,,,,,,,,,,
1190,MenMF10,4,EAQHIX,0.02533913,0.02348847,0.28076026,0,0,,,,,,,,,,,,,,,,
1310,MenF10,4,EAQHIX,0.009762459,0.03224667,0.762104712,0,0,,,,,,,,,,,,,,,,
1430,MenM10,4,EAQHIX,0.03365457,0.02681373,0.2095226,0,0,,,,,,,,,,,,,,,,
1550,MenMF60,4,EAQHIX,0.004213312,0.002274915,0.064104503,0,0,,,,,,,,,,,,,,,,
1670,MenF60,4,EAQHIX,0.002512964,0.003171046,0.428142699,0,0,,,,,,,,,,,,,,,,
1790,MenM60,4,EAQHIX,0.005700777,0.003011538,0.058448326,0,0,,,,,,,,,,,,,,,,
1910,MenMF61,4,EAQHIX,-0.008116343,0.004976443,0.102995886,0,0,,,,,,,,,,,,,,,,
2030,MenF61,4,EAQHIX,-0.013846853,0.006675715,0.038137052,-1,0,,,,,,,,,,,,,,,,
2150,MenM61,4,EAQHIX,-0.001127688,0.007265419,0.876662827,0,0,,,,,,,,,,,,,,,,
111,MenA,5,EAQHIX,0.002752505,0.002109153,0.191974317,0,0,,,,,,,,,,,,,,,,
231,MenF,5,EAQHIX,0.001682973,0.002885468,0.559759417,0,0,,,,,,,,,,,,,,,,
351,MenM,5,EAQHIX,0.003718912,0.002837654,0.190098362,0,0,,,,,,,,,,,,,,,,
471,MenAW,5,EAQHIX,0.004720456,0.001908184,0.013418715,1,1,,,,,,,,,,,,,,,,
591,MenFW,5,EAQHIX,0.007023862,0.002615668,0.007282736,1,1,,,,,,,,,,,,,,,,
711,MenMW,5,EAQHIX,0.002620842,0.002653513,0.323378271,0,0,,,,,,,,,,,,,,,,
831,MenAC,5,EAQHIX,-1.80911E-05,0.002376061,0.9939255,0,0,,,,,,,,,,,,,,,,
951,MenFC,5,EAQHIX,-0.005858777,0.003246206,0.071196132,0,0,,,,,,,,,,,,,,,,
1071,MenMC,5,EAQHIX,0.00536276,0.00310537,0.08427381,0,0,,,,,,,,,,,,,,,,
1191,MenMF10,5,EAQHIX,0.01864419,0.02342751,0.42619143,0,0,,,,,,,,,,,,,,,,
1311,MenF10,5,EAQHIX,0.04989203,0.03181254,0.11690417,0,0,,,,,,,,,,,,,,,,
1431,MenM10,5,EAQHIX,0.00040609,0.026920676,0.987965524,0,0,,,,,,,,,,,,,,,,
1551,MenMF60,5,EAQHIX,0.003659031,0.002275553,0.107936675,0,0,,,,,,,,,,,,,,,,
1671,MenF60,5,EAQHIX,0.003447412,0.003166757,0.276398817,0,0,,,,,,,,,,,,,,,,
1791,MenM60,5,EAQHIX,0.003835756,0.003013456,0.203151843,0,0,,,,,,,,,,,,,,,,
1911,MenMF61,5,EAQHIX,-0.003443853,0.004984708,0.489687368,0,0,,,,,,,,,,,,,,,,
2031,MenF61,5,EAQHIX,-0.008688039,0.006671591,0.192924067,0,0,,,,,,,,,,,,,,,,
2151,MenM61,5,EAQHIX,0.002984621,0.007277189,0.681734513,0,0,,,,,,,,,,,,,,,,
112,MenA,6,EAQHIX,0.001121258,0.002101077,0.593613573,0,0,,,,,,,,,,,,,,,,
232,MenF,6,EAQHIX,0.00080956,0.002870936,0.777972926,0,0,,,,,,,,,,,,,,,,
352,MenM,6,EAQHIX,0.00140488,0.002828108,0.619394177,0,0,,,,,,,,,,,,,,,,
472,MenAW,6,EAQHIX,0.003261391,0.001902431,0.086562566,0,0,,,,,,,,,,,,,,,,
592,MenFW,6,EAQHIX,0.003868293,0.002603167,0.137376195,0,0,,,,,,,,,,,,,,,,
712,MenMW,6,EAQHIX,0.002706523,0.00264771,0.306755259,0,0,,,,,,,,,,,,,,,,
832,MenAC,6,EAQHIX,-0.002423028,0.002360588,0.304754407,0,0,,,,,,,,,,,,,,,,
952,MenFC,6,EAQHIX,-0.003224013,0.003218925,0.3166198,0,0,,,,,,,,,,,,,,,,
1072,MenMC,6,EAQHIX,-0.001685324,0.003090093,0.58551815,0,0,,,,,,,,,,,,,,,,
1192,MenMF10,6,EAQHIX,-0.0041276,0.02334054,0.85964293,0,0,,,,,,,,,,,,,,,,
1312,MenF10,6,EAQHIX,0.004326415,0.03120368,0.88973459,0,0,,,,,,,,,,,,,,,,
1432,MenM10,6,EAQHIX,-0.008773567,0.027035624,0.745565957,0,0,,,,,,,,,,,,,,,,
1552,MenMF60,6,EAQHIX,0.001680857,0.002267627,0.458600684,0,0,,,,,,,,,,,,,,,,
1672,MenF60,6,EAQHIX,0.002043258,0.003153051,0.517013518,0,0,,,,,,,,,,,,,,,,
1792,MenM60,6,EAQHIX,0.001364427,0.003002856,0.649587801,0,0,,,,,,,,,,,,,,,,
1912,MenMF61,6,EAQHIX,-0.002035485,0.004960819,0.681603608,0,0,,,,,,,,,,,,,,,,
2032,MenF61,6,EAQHIX,-0.005702533,0.006638298,0.390383582,0,0,,,,,,,,,,,,,,,,
2152,MenM61,6,EAQHIX,0.002380852,0.007242051,0.742362658,0,0,,,,,,,,,,,,,,,,
113,MenA,7,EAQHIX,0.002222839,0.002097192,0.289262347,0,0,,,,,,,,,,,,,,,,
233,MenF,7,EAQHIX,0.001942719,0.00286563,0.497858699,0,0,,,,,,,,,,,,,,,,
353,MenM,7,EAQHIX,0.002460426,0.002820638,0.383111469,0,0,,,,,,,,,,,,,,,,
473,MenAW,7,EAQHIX,0.003087874,0.001905402,0.105201596,0,0,,,,,,,,,,,,,,,,
593,MenFW,7,EAQHIX,0.001302543,0.002603949,0.61695476,0,0,,,,,,,,,,,,,,,,
713,MenMW,7,EAQHIX,0.004704536,0.002647604,0.075676533,0,0,,,,,,,,,,,,,,,,
833,MenAC,7,EAQHIX,0.00082219,0.002349771,0.726434587,0,0,,,,,,,,,,,,,,,,
953,MenFC,7,EAQHIX,0.002632037,0.003214853,0.41301032,0,0,,,,,,,,,,,,,,,,
1073,MenMC,7,EAQHIX,-0.000866666,0.003063651,0.777281537,0,0,,,,,,,,,,,,,,,,
1193,MenMF10,7,EAQHIX,0.000192471,0.023368036,0.993428797,0,0,,,,,,,,,,,,,,,,
1313,MenF10,7,EAQHIX,-0.01496977,0.03090188,0.6281137,0,0,,,,,,,,,,,,,,,,
1433,MenM10,7,EAQHIX,0.007900791,0.027213439,0.771584511,0,0,,,,,,,,,,,,,,,,
1553,MenMF60,7,EAQHIX,0.002618031,0.002266056,0.248041351,0,0,,,,,,,,,,,,,,,,
1673,MenF60,7,EAQHIX,0.003151419,0.003148154,0.316882513,0,0,,,,,,,,,,,,,,,,
1793,MenM60,7,EAQHIX,0.002131216,0.00299828,0.477250525,0,0,,,,,,,,,,,,,,,,
1913,MenMF61,7,EAQHIX,5.23391E-06,0.004937743,0.9991543,0,0,,,,,,,,,,,,,,,,
2033,MenF61,7,EAQHIX,-0.003730977,0.006607596,0.572350533,0,0,,,,,,,,,,,,,,,,
2153,MenM61,7,EAQHIX,0.004614369,0.007217682,0.52266283,0,0,,,,,,,,,,,,,,,,
114,MenA,8,EAQHIX,0.000267146,0.002103545,0.898949836,0,0,,,,,,,,,,,,,,,,
234,MenF,8,EAQHIX,0.002254294,0.002875578,0.43312905,0,0,,,,,,,,,,,,,,,,
354,MenM,8,EAQHIX,-0.001546952,0.002831409,0.584859652,0,0,,,,,,,,,,,,,,,,
474,MenAW,8,EAQHIX,0.002476306,0.001917179,0.196572376,0,0,,,,,,,,,,,,,,,,
594,MenFW,8,EAQHIX,0.001471446,0.00263386,0.57642805,0,0,,,,,,,,,,,,,,,,
714,MenMW,8,EAQHIX,0.003373066,0.002659829,0.204833536,0,0,,,,,,,,,,,,,,,,
834,MenAC,8,EAQHIX,-0.002546819,0.002338097,0.276114455,0,0,,,,,,,,,,,,,,,,
954,MenFC,8,EAQHIX,0.003477892,0.003191507,0.275910494,0,0,,,,,,,,,,,,,,,,
1074,MenMC,8,EAQHIX,-0.008125007,0.003054755,0.007856868,-1,0,,,,,,,,,,,,,,,,
1194,MenMF10,8,EAQHIX,-0.005578835,0.023502782,0.812385216,0,0,,,,,,,,,,,,,,,,
1314,MenF10,8,EAQHIX,-0.01108278,0.03103216,0.72101102,0,0,,,,,,,,,,,,,,,,
1434,MenM10,8,EAQHIX,-0.001914532,0.027389679,0.944277697,0,0,,,,,,,,,,,,,,,,
1554,MenMF60,8,EAQHIX,0.000224301,0.002274072,0.92143494,0,0,,,,,,,,,,,,,,,,
1674,MenF60,8,EAQHIX,0.00378757,0.003161616,0.231009003,0,0,,,,,,,,,,,,,,,,
1794,MenM60,8,EAQHIX,-0.002882465,0.00301053,0.338404938,0,0,,,,,,,,,,,,,,,,
1914,MenMF61,8,EAQHIX,0.000803433,0.004930061,0.870555085,0,0,,,,,,,,,,,,,,,,
2034,MenF61,8,EAQHIX,-0.005103595,0.006612673,0.440294257,0,0,,,,,,,,,,,,,,,,
2154,MenM61,8,EAQHIX,0.008083139,0.007180684,0.260383905,0,0,,,,,,,,,,,,,,,,
115,MenA,9,EAQHIX,-0.00351238,0.002107717,0.095721495,0,0,,,,,,,,,,,,,,,,
235,MenF,9,EAQHIX,-0.004941007,0.002880299,0.08635705,0,0,,,,,,,,,,,,,,,,
355,MenM,9,EAQHIX,-0.002210976,0.002837304,0.435887098,0,0,,,,,,,,,,,,,,,,
475,MenAW,9,EAQHIX,-0.001080222,0.001934726,0.576654665,0,0,,,,,,,,,,,,,,,,
595,MenFW,9,EAQHIX,-0.002885918,0.002650685,0.276346477,0,0,,,,,,,,,,,,,,,,
715,MenMW,9,EAQHIX,0.000529675,0.00268553,0.843657384,0,0,,,,,,,,,,,,,,,,
835,MenAC,9,EAQHIX,-0.006271398,0.00233137,0.007181185,-1,0,,,,,,,,,,,,,,,,
955,MenFC,9,EAQHIX,-0.007263705,0.003182725,0.022539422,-1,0,,,,,,,,,,,,,,,,
1075,MenMC,9,EAQHIX,-0.005361301,0.003048984,0.078774269,0,0,,,,,,,,,,,,,,,,
1195,MenMF10,9,EAQHIX,-0.004585642,0.02351372,0.845389454,0,0,,,,,,,,,,,,,,,,
1315,MenF10,9,EAQHIX,-0.03506788,0.03167006,0.26825039,0,0,,,,,,,,,,,,,,,,
1435,MenM10,9,EAQHIX,0.01241905,0.02707994,0.64654663,0,0,,,,,,,,,,,,,,,,
1555,MenMF60,9,EAQHIX,-0.003276037,0.002278692,0.150619183,0,0,,,,,,,,,,,,,,,,
1675,MenF60,9,EAQHIX,-0.00222152,0.00316869,0.48329972,0,0,,,,,,,,,,,,,,,,
1795,MenM60,9,EAQHIX,-0.004194253,0.003014957,0.16427439,0,0,,,,,,,,,,,,,,,,
1915,MenMF61,9,EAQHIX,-0.004813092,0.004945124,0.330475433,0,0,,,,,,,,,,,,,,,,
2035,MenF61,9,EAQHIX,-0.017849756,0.006624843,0.007088087,-1,0,,,,,,,,,,,,,,,,
2155,MenM61,9,EAQHIX,0.011179365,0.007214616,0.121347208,0,0,,,,,,,,,,,,,,,,
116,MenA,10,EAQHIX,-0.000248248,0.002119763,0.906779017,0,0,,,,,,,,,,,,,,,,
236,MenF,10,EAQHIX,-0.004505352,0.002895836,0.119851026,0,0,,,,,,,,,,,,,,,,
356,MenM,10,EAQHIX,0.003638799,0.002853042,0.202254183,0,0,,,,,,,,,,,,,,,,
476,MenAW,10,EAQHIX,-0.000974401,0.0019479,0.616945317,0,0,,,,,,,,,,,,,,,,
596,MenFW,10,EAQHIX,-0.002506946,0.002671933,0.348183929,0,0,,,,,,,,,,,,,,,,
716,MenMW,10,EAQHIX,0.000407428,0.002707992,0.88041584,0,0,,,,,,,,,,,,,,,,
836,MenAC,10,EAQHIX,0.001541546,0.00234348,0.510711334,0,0,,,,,,,,,,,,,,,,
956,MenFC,10,EAQHIX,-0.006395647,0.00319108,0.045127651,-1,0,,,,,,,,,,,,,,,,
1076,MenMC,10,EAQHIX,0.008929919,0.003062682,0.003572702,1,1,,,,,,,,,,,,,,,,
1196,MenMF10,10,EAQHIX,-0.006860286,0.023663521,0.771903551,0,0,,,,,,,,,,,,,,,,
1316,MenF10,10,EAQHIX,-0.06687397,0.03179205,0.03549952,-1,0,,,,,,,,,,,,,,,,
1436,MenM10,10,EAQHIX,0.0249193,0.02732677,0.36188773,0,0,,,,,,,,,,,,,,,,
1556,MenMF60,10,EAQHIX,-0.000286558,0.002290169,0.900432176,0,0,,,,,,,,,,,,,,,,
1676,MenF60,10,EAQHIX,-0.003448557,0.00318358,0.278784723,0,0,,,,,,,,,,,,,,,,
1796,MenM60,10,EAQHIX,0.002462575,0.003032817,0.41686403,0,0,,,,,,,,,,,,,,,,
1916,MenMF61,10,EAQHIX,0.000317326,0.004980582,0.949202848,0,0,,,,,,,,,,,,,,,,
2036,MenF61,10,EAQHIX,-0.008211961,0.006684203,0.219323797,0,0,,,,,,,,,,,,,,,,
2156,MenM61,10,EAQHIX,0.010805743,0.007256027,0.136528178,0,0,,,,,,,,,,,,,,,,
117,MenA,11,EAQHIX,0.002649083,0.00212941,0.213571445,0,0,,,,,,,,,,,,,,,,
237,MenF,11,EAQHIX,-0.001548103,0.002915571,0.595470239,0,0,,,,,,,,,,,,,,,,
357,MenM,11,EAQHIX,0.006463156,0.002862263,0.024007366,1,1,,,,,,,,,,,,,,,,
477,MenAW,11,EAQHIX,0.004374048,0.001950653,0.025005162,1,1,,,,,,,,,,,,,,,,
597,MenFW,11,EAQHIX,-0.001152809,0.002681348,0.667269969,0,0,,,,,,,,,,,,,,,,
717,MenMW,11,EAQHIX,0.009329062,0.002710512,0.00058505,1,1,,,,,,,,,,,,,,,,
837,MenAC,11,EAQHIX,0.001301364,0.002361637,0.581641428,0,0,,,,,,,,,,,,,,,,
957,MenFC,11,EAQHIX,-0.001031791,0.003223881,0.748953622,0,0,,,,,,,,,,,,,,,,
1077,MenMC,11,EAQHIX,0.003487028,0.00307894,0.257489357,0,0,,,,,,,,,,,,,,,,
1197,MenMF10,11,EAQHIX,-0.01484674,0.02399506,0.53612962,0,0,,,,,,,,,,,,,,,,
1317,MenF10,11,EAQHIX,-0.04528373,0.03258586,0.16472187,0,0,,,,,,,,,,,,,,,,
1437,MenM10,11,EAQHIX,0.001354977,0.027497207,0.960701639,0,0,,,,,,,,,,,,,,,,
1557,MenMF60,11,EAQHIX,0.002911259,0.002299533,0.205594984,0,0,,,,,,,,,,,,,,,,
1677,MenF60,11,EAQHIX,-0.001289863,0.00320225,0.687122338,0,0,,,,,,,,,,,,,,,,
1797,MenM60,11,EAQHIX,0.006555896,0.003042001,0.03122438,1,1,,,,,,,,,,,,,,,,
1917,MenMF61,11,EAQHIX,0.001763289,0.005018975,0.725367408,0,0,,,,,,,,,,,,,,,,
2037,MenF61,11,EAQHIX,-0.001827298,0.006734218,0.786142544,0,0,,,,,,,,,,,,,,,,
2157,MenM61,11,EAQHIX,0.006156555,0.00731482,0.400042311,0,0,,,,,,,,,,,,,,,,
118,MenA,12,EAQHIX,-0.000753387,0.002131463,0.723766266,0,0,,,,,,,,,,,,,,,,
238,MenF,12,EAQHIX,-4.61672E-05,0.002912718,0.9873549,0,0,,,,,,,,,,,,,,,,
358,MenM,12,EAQHIX,-0.001407087,0.002869475,0.623909032,0,0,,,,,,,,,,,,,,,,
478,MenAW,12,EAQHIX,-0.00029414,0.001958461,0.880624466,0,0,,,,,,,,,,,,,,,,
598,MenFW,12,EAQHIX,-0.001561693,0.002683067,0.560569445,0,0,,,,,,,,,,,,,,,,
718,MenMW,12,EAQHIX,0.000843424,0.002726377,0.757069454,0,0,,,,,,,,,,,,,,,,
838,MenAC,12,EAQHIX,3.37419E-05,0.002364137,0.9886135,0,0,,,,,,,,,,,,,,,,
958,MenFC,12,EAQHIX,0.004334857,0.00322178,0.178561518,0,0,,,,,,,,,,,,,,,,
1078,MenMC,12,EAQHIX,-0.003939284,0.003089068,0.202316626,0,0,,,,,,,,,,,,,,,,
1198,MenMF10,12,EAQHIX,-0.01602173,0.02381007,0.50105993,0,0,,,,,,,,,,,,,,,,
1318,MenF10,12,EAQHIX,0.02778989,0.0320198,0.38551405,0,0,,,,,,,,,,,,,,,,
